domain,application,version,users,MAU,HYAU,posts
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
blob.cat,akkoma,3.10.4-0-gf5134be53-blob,1846,151,285,593821
fe.disroot.org,akkoma,3.11.0-0-ga03f3a9,1643,296,796,29486
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1580,40,87,26268
fedi.absturztau.be,akkoma,3.11.0-294-g889b57df-develop,1360,103,214,860701
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,1024,149,367,121482
genserver.social,akkoma,3.10.3-0-gc887dd4,991,126,307,6120
outerheaven.club,akkoma,3.10.3-0-g43c5fd5,794,98,165,468511
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,736,132,315,48448
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,401,19,135,2618
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,327,38,77,1625
nixnet.social,akkoma,3.11.0-0-ga03f3a9,325,43,114,28241
detroitriotcity.com,akkoma,3.11.0-0-ga03f3a9,244,81,138,76957
pleroma.envs.net,akkoma,3.11.0-0-ga03f3a9,238,52,94,23832
freespeech.group,akkoma,3.11.0-0-ga03f3a9,202,5,7,36154
seafoam.space,akkoma,3.11.0-0-ga03f3a9,183,53,88,38393
mycrowd.ca,akkoma,3.11.0,150,26,51,76963
akko.disqordia.space,akkoma,3.9.3,146,34,71,188355
oddballs.online,akkoma,3.10.4-0-gebfb617,139,93,144,11966
headpat.cafe,akkoma,3.10.4-0-g0af8e93,130,23,52,908
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,113,6,11,111907
akko.wtf,akkoma,3.11.0-300-gc648f4af-akko-wtf,113,59,86,140888
ak.vern.cc,akkoma,3.9.3,112,4,16,6431
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,99,11,22,60304
bdx.town,akkoma,3.9.3-0-g80519fe,95,45,83,21409
decept.org,akkoma,3.9.3-0-g9d7c877,93,24,30,14184
infosec.place,akkoma,3.10.4-1-gebfb617b,91,17,39,3563
donotsta.re,akkoma,3.10.4-0-gebfb617,81,34,45,13568
monk.ey.business,akkoma,3.10.4-1-gebfb617b,75,39,81,22719
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,72,7,24,729
social.kernel.org,akkoma,3.11.0,71,40,54,11827
labyrinth.zone,akkoma,3.11.0,70,62,68,35910
ihatebeinga.live,akkoma,3.11.0-295-gbded75af-develop,69,13,20,290159
moth.zone,akkoma,3.11.0-0-ga03f3a9,68,34,46,43951
brain.worm.pink,akkoma,3.10.4-3-g8660dcae,61,33,46,19721
crimew.gay,akkoma,3.10.3-200-g5c164028-develop,58,33,48,77371
shota.house,akkoma,3.10.3,55,18,29,155326
0w0.is,akkoma,3.10.4-1-gebfb617b,52,45,53,232240
social.translunar.academy,akkoma,3.9.3-0-g9d7c877,51,42,55,109647
cooltrans.men,akkoma,3.11.0,50,52,52,3108
akko.unix.dog,akkoma,3.11.0,49,17,28,12252
awoo.fai.st,akkoma,3.10.4-0-gebfb617,48,13,20,16982
kowelenz.social,akkoma,3.11.0-0-ga03f3a9,47,10,13,9012
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,46,35,40,24628
foxy.social,akkoma,3.9.3-0-g30b9e626f-main,42,6,18,234
ak.kawen.space,akkoma,3.10.3-0-g98f0820-develop,39,20,25,58412
pl.m0e.space,akkoma,3.10.4-1-gebfb617b,39,12,15,5099
woem.space,akkoma,3.11.0-0-ga03f3a9,39,30,37,86975
lit.tlespace.xyz,akkoma,3.10.4-1-gebfb617b,38,33,39,12326
gosuslugi.social,akkoma,3.8.0,36,7,8,203
suya.place,akkoma,3.11.0-141-g24851c69-suyaplace,36,27,32,27795
void.lgbt,akkoma,3.11.0-0-ga03f3a9,34,29,34,19214
nya.house,akkoma,3.10.4-2-g47aab34e-nya,33,5,5,853
otp.akkoma.dev,akkoma,3.11.0-0-ga03f3a9,32,2,4,171
iscute.moe,akkoma,3.10.4,31,9,10,140865
uchu-teien.com,akkoma,3.11.0,27,12,23,8747
breastmilk.club,akkoma,3.7.1-205-g82c1b7d4-akroma,27,16,21,87416
pinksheep.org,akkoma,3.11.0-0-ga03f3a9,27,3,8,509
pr.shc.kanagawa.jp,akkoma,3.10.4-6-g534841dd-heads-v3-10-4,26,2,5,2439
aa.nikola.love,akkoma,3.10.4-1-gebfb617b,25,5,22,2230
chai.kibbutz.gay,akkoma,3.11.0-0-ga03f3a9,24,20,35,6886
fedi.nano.lgbt,akkoma,3.10.4-1-gebfb617b,24,19,26,15186
pleroma.chillout.chat,akkoma,3.7.1,24,null,null,391
tailswish.industries,akkoma,3.11.0-1-g5c1a444e-tailswish,23,11,13,13982
blobfox.es,akkoma,3.10.4-1658-gfddc90ec-fox,22,6,12,1184
ng.cathoderay.tube,akkoma,3.10.4-0-gebfb617,22,11,15,4655
netzsphaere.xyz,akkoma,3.11.0-0-ga03f3a9,21,4,7,109168
myfriendsare.gay,akkoma,3.10.4,21,4,7,6339
sweet.succubi.services,akkoma,3.10.4,21,1,4,972
pleroma.viridianpatriots.com,akkoma,3.10.3-0-g98f0820-develop,21,5,7,13192
social.milhousfamily.com,akkoma,3.8.0,21,8,11,93
akkoma.cryptoschizo.club,akkoma,3.10.4-0-gebfb617,20,7,18,2171
infinitychuu.xyz,akkoma,3.11.0-0-ga03f3a9,20,14,19,1001
haxe.social,akkoma,3.8.0,20,2,5,27
xyzzy.link,akkoma,3.10.3-201-gc8e08e9c-develop,19,7,12,28332
midnight.delivery,akkoma,3.7.1-0-gfef4bae,19,null,null,946
is.badat.dev,akkoma,3.11.0-294-g889b57df-develop,19,6,7,40701
fedi.friendzone.lol,akkoma,3.10.4-1-gebfb617b,19,5,23,3664
akko.elysium.gay,akkoma,3.11.0-0-ga03f3a9,18,16,19,817
novo-atlantis.null.media,akkoma,3.9.3,17,7,12,1539
larkspur.one,akkoma,3.11.0-294-g889b57df-develop,16,7,9,3273
toot.hackrc.dev,akkoma,3.10.3-203-gd1af78ab-develop,16,2,3,993
ilja.space,akkoma,3.10.4,15,6,7,16014
shrine.moe,akkoma,3.11.0,15,11,16,11210
social.qunn.eu,akkoma,3.11.0-0-ga03f3a9,15,6,9,698
magic.win,akkoma,3.7.1-0-gfef4bae,15,null,null,80
cockandballtortu.re,akkoma,3.9.3+dev,14,3,6,418
wenxi.link,akkoma,3.10.4-0-gebfb617,14,6,12,38
fedi.getimiskon.xyz,akkoma,3.10.3-221-g6fb91d79-develop,13,7,10,18726
allies.rocks,akkoma,3.10.4-0-gebfb617,13,7,11,689
fedi.seriousbusiness.international,akkoma,3.9.3-0-g9d7c877,13,8,10,5601
fedi.astrid.tech,akkoma,3.8.0,13,8,9,51954
akko.constellatory.net,akkoma,3.11.0,13,12,12,1128
junimo.party,akkoma,3.11.0,13,13,13,883
spectreofcommunism.boo,akkoma,3.11.0,13,12,12,98
mar.archipielago.uno,akkoma,3.11.0,13,10,12,1309
social.owotel.com,akkoma,3.9.3,13,3,7,146
bv.umbrellix.org,akkoma,3.4.0-117-gde1bbc02,12,null,null,12644
