domain,application,version,users,MAU,HYAU,posts
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
blob.cat,akkoma,3.10.4-0-gf5134be53-blob,1859,132,250,610883
fe.disroot.org,akkoma,3.13.1-0-gc02e343,1790,291,800,29114
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1580,30,82,23941
fedi.absturztau.be,akkoma,3.13.1-466-g21a81e11-develop,1370,93,184,870124
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,1169,119,448,122864
genserver.social,akkoma,3.12.0-0-gd71d523,999,110,252,6687
outerheaven.club,akkoma,3.12.0-0-gd71d523,809,105,156,487441
miraiverse.xyz,akkoma,3.13.1-0-gc02e343,740,109,238,50680
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,412,18,107,2819
pl.nudie.social,akkoma,3.13.1-512-gc02e3432,339,38,76,1525
nixnet.social,akkoma,3.13.1-0-gc02e343,325,37,97,28458
oddballs.online,akkoma,3.10.4-0-gebfb617,301,134,225,22664
detroitriotcity.com,akkoma,3.13.1-0-gc02e343,260,70,129,89988
pleroma.envs.net,akkoma,3.13.1-0-gc02e343,244,51,92,28047
freespeech.group,akkoma,3.13.1-0-gc02e343,202,6,7,36278
mycrowd.ca,akkoma,3.13.1,140,25,73,5277
headpat.cafe,akkoma,3.10.4-0-g0af8e93,130,19,39,954
labyrinth.zone,akkoma,3.12.2,120,96,116,75865
ak.vern.cc,akkoma,3.9.3,120,7,20,8522
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,113,8,13,116540
akko.wtf,akkoma,3.13.1-497-g2007b1c5-akko-wtf,112,57,78,153495
bdx.town,akkoma,3.12.0-0-ga57c57f,104,37,79,23564
eepy.express,akkoma,3.13.1-0-gc02e343,101,67,67,6421
infosec.place,akkoma,3.12.2,101,21,42,4104
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,99,8,15,64229
seafoam.space,akkoma,3.12.2-0-g26a91d5,98,16,16,25610
decept.org,akkoma,3.12.2-0-g26a91d5,92,17,30,13827
donotsta.re,akkoma,3.10.4-0-gebfb617,90,37,51,17022
triangle.social,akkoma,3.13.1-512-gc02e3432,82,2,2,12863
social.kernel.org,akkoma,3.13.1,72,39,53,14640
moth.zone,akkoma,3.13.1-0-gc02e343,72,34,46,50050
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,72,4,19,611
brain.worm.pink,akkoma,3.13.2-2-gf36e1368,72,32,48,28378
kowelenz.social,akkoma,3.12.0-0-gd71d523,70,9,14,9315
cooltrans.men,akkoma,3.12.0,69,44,71,8324
ihatebeinga.live,akkoma,3.13.1-485-gd7b78b2e-develop,69,13,19,290580
shota.house,akkoma,3.12.0,65,21,37,177069
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,62,35,53,33867
crimew.gay,akkoma,3.10.3-200-g5c164028-develop,56,29,46,80873
social.translunar.academy,akkoma,3.13.1-0-gc02e343,54,42,54,138154
void.lgbt,akkoma,3.12.0-0-gd71d523,52,42,55,29246
akko.unix.dog,akkoma,3.13.1,50,16,31,12542
awoo.fai.st,akkoma,3.10.4-0-gebfb617,48,15,20,17778
pl.m0e.space,akkoma,3.12.0-339-g2d439034-develop,46,16,20,5718
akkomane.social,akkoma,3.11.0-0-ga03f3a9,45,35,41,607
foxy.social,akkoma,3.9.3-0-g30b9e626f-main,44,10,15,262
ak.kawen.space,akkoma,3.12.0-0-g087d88f-develop,44,24,27,60679
woem.space,akkoma,3.12.0-0-g11c305b,39,27,37,102972
gosuslugi.social,akkoma,3.8.0,36,5,8,207
suya.place,akkoma,3.13.1-321-g2b603d9f-suyaplace,36,22,30,32912
uchu-teien.com,akkoma,3.12.0-339-g2d439034-develop,35,16,29,10068
corteximplant.net,akkoma,3.13.1-0-gc02e343,34,33,33,1088
nya.house,akkoma,3.10.4-2-g47aab34e-nya,33,2,5,854
iscute.moe,akkoma,3.10.4,31,7,10,140880
chai.kibbutz.gay,akkoma,3.13.1-0-gc02e343,28,23,33,8759
pinksheep.org,akkoma,3.11.0-0-ga03f3a9,27,4,7,557
breastmilk.club,akkoma,3.7.1-205-g82c1b7d4-akroma,27,14,20,93574
pr.shc.kanagawa.jp,akkoma,3.12.2-10-g37fa0a93-heads-v3-12-2,26,0,4,2439
infinitychuu.xyz,akkoma,3.12.2-0-g26a91d5,25,14,24,2552
aa.nikola.love,akkoma,3.10.4-1-gebfb617b,25,4,12,2239
fedi.nano.lgbt,akkoma,3.12.0,24,16,28,21760
pleroma.chillout.chat,akkoma,3.7.1,24,null,null,397
akko.elysium.gay,akkoma,3.13.1-0-gc02e343,24,15,24,1621
ng.cathoderay.tube,akkoma,3.10.4-0-gebfb617,23,13,15,5293
tailswish.industries,akkoma,3.11.0-1-g5c1a444e-tailswish,23,11,14,14104
spectreofcommunism.boo,akkoma,3.11.0,23,12,16,345
netzsphaere.xyz,akkoma,3.13.2-0-g050bc74,23,6,11,118402
blobfox.es,akkoma,3.10.4-1658-gfddc90ec-fox,22,4,10,1185
sweet.succubi.services,akkoma,3.12.2,22,2,3,972
pleroma.viridianpatriots.com,akkoma,3.12.0-0-g087d88f-develop,22,2,8,13354
myfriendsare.gay,akkoma,3.12.0,21,5,7,6364
xyzzy.link,akkoma,3.12.2-349-gb8393ad9-develop,21,8,14,29317
haxe.social,akkoma,3.13.1,21,4,5,35
social.milhousfamily.com,akkoma,3.8.0,21,8,11,95
akkoma.cryptoschizo.club,akkoma,3.10.4-0-gebfb617,20,9,12,2773
kongwoo.icu,akkoma,3.9.3-0-g9d7c877,20,3,5,7286
shrine.moe,akkoma,3.12.0,20,14,17,14840
midnight.delivery,akkoma,3.7.1-0-gfef4bae,20,null,null,994
is.badat.dev,akkoma,3.13.1-466-g21a81e11-develop,19,6,8,42119
junimo.party,akkoma,3.13.1,18,14,18,2338
novo-atlantis.null.media,akkoma,3.9.3,18,5,10,1414
fedi.friendzone.lol,akkoma,3.13.1,18,1,14,2776
wenxi.link,akkoma,3.10.4-0-gebfb617,18,4,16,44
akko.gay-garden.no,akkoma,3.11.0,16,11,17,718
larkspur.one,akkoma,3.13.1-486-gf244864f-larkspur,16,7,8,3808
toot.hackrc.dev,akkoma,3.12.0-339-g2d439034-develop,16,1,3,1157
social.qunn.eu,akkoma,3.13.1-0-gc02e343,15,5,9,745
fedi.seriousbusiness.international,akkoma,3.9.3-0-g9d7c877,15,8,11,6243
buff.tomboyfan.club,akkoma,3.12.0,15,8,8,7402
akkoma.kikuri.moe,akkoma,3.11.0,15,9,11,141
ilja.space,akkoma,3.12.0-2-gd71d5230,15,4,8,12964
fedi.getimiskon.xyz,akkoma,3.12.0,14,7,11,21164
cockandballtortu.re,akkoma,3.9.3+dev,14,4,5,508
ak.ari.lt,akkoma,3.13.1-0-gc02e343,14,12,15,1204
social.owotel.com,akkoma,3.9.3,14,6,8,155
akko.ssi.fyi,akkoma,3.13.1,14,16,16,115
akko.chir.rs,akkoma,3.11.0,13,7,7,11169
fedi.astrid.tech,akkoma,3.10.4,13,8,9,61877
mar.archipielago.uno,akkoma,3.11.0,13,8,11,1403
meow.church,akkoma,3.10.3-0-g43c5fd5,12,5,9,333
nyan.network,akkoma,3.12.2,12,6,8,5147
fedi.reimu.info,akkoma,3.13.1-473-gee03149b-develop,12,6,8,11162
strelizia.net,akkoma,3.12.2-1645-gb681dce0-akkoma,12,7,8,125552
bv.umbrellix.org,akkoma,3.12.0,12,5,7,18655
s.awoo.dev,akkoma,3.12.0-0-g087d88f-develop,12,5,8,1061
chirpr.terrenly.com,akkoma,3.10.4-1-gebfb617b,12,2,11,67
turtleisland.rocks,akkoma,3.13.1-0-gc02e343,11,8,11,105
fedi.bapril.pl,akkoma,3.13.1,11,6,10,2711
pl.comofas.org,akkoma,3.9.3-2-gfb8081e1-develop,11,4,4,71
fedi.skladka.net,akkoma,3.5.0-0-gd9508474b,11,null,null,1903
a.jerl.zone,akkoma,3.7.1-0-gfef4bae,11,null,null,135
agda.club,akkoma,3.10.4-0-gebfb617,11,3,6,207
