domain,application,version,users,MAU,HYAU,posts
prattohome.com,mastodon,4.2.3,1,1,1,3648
relay.fedibird.com,pub-relay,0.2.1,1,null,null,0
xoxo.zone,mastodon,4.2.3,662,260,344,173092
misskey.zerozaski.tech,misskey,12.110.1,4,2,3,34348
social.ericwbailey.website,mastodon,4.2.3,1,1,1,1547
prattle.org.uk,mastodon,4.0.12,3,2,2,21503
wobbl.xyz,mastodon,4.3.3-alpha.0+glitch,984,469,812,134894
diddlyfx.space,mastodon,4.2.3,5,2,4,75
brucknerite.net,wordpress,6.4.2,1,1,1,686
m5y.usuyuki.net,misskey,2023.11.0-usuyukey-1.1.0,1,null,null,4706
nitecrew.rip,hometown,4.0.10+hometown-1.1.1,30,21,27,215239
masto.cactusketo.com,mastodon,4.2.3,1,1,1,885
summerhill.cafe,mastodon,4.2.3,3,2,3,368
mastodon.fedi.bzh,mastodon,4.2.0,97,34,58,18261
fed.chris-shaw.dev,mastodon,4.2.3,1,1,1,50
killyour.dad,pleroma,2.5.54-640-gacbec640.develop+soapbox,4,2,3,11
23.illuminati.org,mastodon,4.2.1,151,18,55,1488
troublemaker.social,mastodon,4.2.3,1,1,1,1833
cheeseburger.social,mastodon,4.2.0+glitch,70,11,27,6556
austintexas.social,mastodon,4.2.1,28,2,9,25126
misskey.osyakasyama.me,misskey,2023.11.1,3,null,null,4152
peertube.protagio.org,peertube,5.1.0,8,5,8,27
mi.nu1.dev,misskey,2023.11.1,5,null,null,1588
honi.stesan.dev,misskey,13.14.2-steskey-v30,9,null,null,120498
mast.2enp.cc,mastodon,4.2.0,6,2,8,216
mk.tenpest-moon.uk,misskey,12.119.2,4,2,2,16130
mastodon.scientiam.org,mastodon,4.1.9,3,1,2,567
equel.social,mastodon,4.2.0,300,232,262,1966
scicomm.xyz,mastodon,4.2.3,1438,334,578,121282
linh.social,mastodon,4.2.3,8,6,8,4713
kiritan.work,mastodon,4.2.3,296,91,133,1955150
mastodon.dlants.me,mastodon,4.2.3,1,1,1,21
mkkey.net,calckey,14.0.0-d10+ea676f,135,116,132,201755
misskey.liberuntime.com,misskey,2023.11.1,8,null,null,110
masto.es,mastodon,4.2.3,24314,2468,9331,442637
polyglot.city,hometown,4.0.10+hometown-1.1.1,157,65,109,51162
don.gomasy.jp,mastodon,4.2.3,7,5,6,76098
lepoulsdumonde.com,mastodon,4.3.0-alpha.0,55,52,54,16642
phocks.eu.org,mastodon,4.2.3,1,1,1,4526
josh.tel,mastodon,4.2.3,2,2,2,575
neko.ci,misskey,2023.9.0.mf.4,519,null,null,23432
esper.lol,mastodon,4.2.3,9,4,10,768
toot.iani.art,mastodon,4.2.1,3,2,2,7273
cryptodon.chat,mastodon,4.1.3,44,6,26,15249
progressives.social,mastodon,4.2.0,35,8,15,18493
mastodon.laurenweinstein.org,mastodon,4.1.3,1,1,1,14549
oransns.com,mastodon,4.1.7,601,75,100,945685
kawane.misskey.online,misskey,2023.11.1,12,null,null,1861
tvwatch.party,mastodon,4.1.4,5,5,5,6954
ktnfm.com,misskey,2023.11.1,48,null,null,42211
social.zwoelfdreifuenfundvierzig.net,mastodon,4.2.0,5,1,2,13285
firefish.city,firefish,1.0.3,6,5,5,1287
mspsocial.net,hometown,4.0.10+hometown-1.1.1,367,125,155,322746
fed.foad.me.uk,pleroma,2.5.2-13-g2d193861,1,1,1,155
yamagadon.com,mastodon,4.2.3,2,1,1,968
negi.fjordur.net,misskey,2023.11.1,17,null,null,75522
social.masto.land,mastodon,4.3.0-alpha.0+glitch,18,2,7,3461
rss-mstdn.studiofreesia.com,mastodon,4.2.3,494,428,502,378165
sushi.ski,misskey,2023.11.1,17021,null,null,3855735
fedi.itepechi.me,akkoma,3.10.3+bnakkoma,2,1,3,53
mstdn.mini4wd-engineer.com,mastodon,3.4.4,130,15,26,134733
msky.aozora.uk,cherrypick,4.5.2,83,null,null,50484
mstdn.books-lighthouse.com,mastodon,4.0.2,41,34,56,22889
social.qownnotes.org,mastodon,4.2.3,2,2,2,241
ipv6.social,mastodon,4.2.1,61,19,19,9302
hellsite.site,mastodon,4.1.3+glitch,430,101,148,39783441
mastodon.nyanshell.com,mastodon,4.2.3,5,1,1,290
fulda.social,mastodon,4.2.3,3195,271,728,57901
merveilles.town,hometown,4.0.6+hometown-1.1.1,649,366,456,497561
mstdn.sagami-yashiro.net,mastodon,4.2.1,2,1,1,760
blaahaj.com,mastodon,4.2.3,1,1,1,1968
tmss2291-1.hostdon.ne.jp,mastodon,4.2.1,1,1,1,91
mastodon.bot,mastodon,4.1.11,68,37,68,118121
brettspiel.space,mastodon,4.2.3,342,174,265,44449
s.yelvington.com,mastodon,4.2.3,3,1,1,5430
liberal.city,mastodon,4.2.3,34,5,15,18899
schraepler.de,firefish,1.0.5-rc,4,2,2,597
geeknews.chat,mastodon,4.2.3,47,4,9,12276
eza.link,mastodon,4.1.4,1,1,1,873
miss.kabeuchi.monster,misskey,2023.11.1,5,null,null,1229
brighteon.social,brighteon,3.4.6,52515,1574,1574,2887351
firefish.uryokurin.net,firefish,1.0.5-rc,4,1,2,50
obapom.work,mastodon,4.2.0,21,16,16,126472
moonbow.garden,mastodon,4.2.3,14,6,13,7901
akademienl.social,mastodon,4.2.3,592,201,328,33147
ff.mizunashi.work,firefish,1.0.5-rc,3,1,1,712
trismegiste.life,misskey,13.14.2,4,null,null,2444
firefish.katniss.top,firefish,1.0.4-beta,3,0,1,0
social.kazehiko.com,mastodon,4.2.1,1,1,1,1707
masto.1146.nohost.me,mastodon,4.1.4,1,1,1,7952
kitty.social,firefish,1.0.5-rc,379,68,241,45097
social.sp-codes.de,mastodon,4.2.3,58,25,47,16173
pnw.zone,mastodon,4.2.3,1518,278,608,47171
social.mkj.earth,mastodon,4.2.3,3,3,3,350
msky.co8rt.blue,misskey,13.14.2,4,null,null,161
kanina.be,mastodon,4.1.7,13,2,7,6343
mi.4587-aya-0p.work,misskey,2023.11.1,9,null,null,28
simian.rodeo,hometown,4.0.10+hometown-1.1.1,14,9,11,7719
unstable.systems,mastodon,4.2.0-rc2+glitch.th,23,15,20,15530
bbs.kawa-kun.com,pleroma,2.5.52-289-gd1b7f5b1-bbs-kawa-kun-com,75,14,19,261722
social.jigmedatse.com,mastodon,4.2.3,2,2,2,2770
mstdn.tamag.org,mastodon,4.0.2,124,45,94,719160
social.circl.lu,mastodon,4.1.9,49,10,26,5361
xim.ca,firefish,1.0.5-dev12,7,3,5,1277
illo.social,mastodon,4.2.3,45,16,46,2066
indieauthors.social,mastodon,4.2.3,509,63,169,18964
frennet.xyz,misskey,2023.11.1,12,null,null,8454
ck.katzen.cafe,iceshrimp,2023.11.4,22,11,15,6926
enby.life,firefish,1.0.5-rc,4,2,3,1911
falk.cafe,mastodon,4.2.3,4,3,3,882
microblog.social,firefish,1.0.3,17,5,9,14543
chin-co-ne.co,mastodon,4.2.1,1,1,1,101075
sumanko.com,mastodon,4.3.0-alpha.0+glitch,4,4,4,3969
pennytucker.social,mastodon,4.2.3,1,1,1,706
headpat.cafe,akkoma,3.10.4-0-g0af8e93,109,29,59,841
writing.exchange,mastodon,4.2.3,3609,510,987,460077
maho.app,mastodon,4.1.3,82,39,45,1230946
mastodon.sambands.net,mastodon,4.3.0-alpha.0+glitch,5,5,6,338
kirche.social,mastodon,4.2.1,587,271,386,110363
tmux.f5.si,mastodon,4.2.3,1,1,1,1695
don.kenmo.fm,mastodon,4.2.3,14,9,10,4029
dev.fedicity.net,mastodon,4.2.0,1,1,1,28
nep.one,misskey,2023.11.1,6,null,null,585
beef-chicken-pork.beer,pleroma,2.5.5,1,1,1,50
waag.social,mastodon,4.2.1,83,21,35,11848
fietkau.social,mastodon,4.2.3,4,1,4,1564
masto.yttrx.com,mastodon,4.2.2,827,68,425,8319
feuerwehr.social,mastodon,4.1.8,1359,735,1127,13669
reporter.social,mastodon,4.2.3,30,24,28,8904
social.proximitysculptor.com,mastodon,4.2.0-rc2+glitch,2,0,1,608
pleromashit.nexus,pleroma,2.6.0-405-g6f654d53,6,5,6,514
mk.yopo.work,misskey,2023.11.1,597,null,null,230373
fnordon.de,mastodon,4.2.3,290,202,232,144010
social.dropbear.xyz,mastodon,4.2.3,4,1,1,2136
federation.network,firefish,1.0.5-rc,247,104,240,35252
niscii.xyz,misskey,2023.11.1,14,null,null,57245
astrian.social,mastodon,4.2.3,5,3,3,3736
togl.me,mastodon,4.1.4,4,4,4,1445
plasmatrap.com,sharkey,2023.12.0.beta1,156,null,null,41329
koreadon.com,mastodon,4.2.3,169,3,16,224616
transitory.social,firefish,1.0.5-rc,4,2,2,1852
montevista.net,mastodon,4.1.6,7,3,7,117
kasakoso.lol,misskey,2023.11.1,6,null,null,14280
artsocial.boston,mastodon,4.2.1,5,3,4,547
mastodon.brendans-bits.com,mastodon,4.2.1,1,1,1,14
creativewriting.social,mastodon,4.1.4,274,80,174,18984
nullio.net,mastodon,4.2.2,1,1,1,41
peertube.beeldengeluid.nl,peertube,5.2.1,8,2,3,7668
nsfw.finance,pleroma,2.5.5,14,5,7,1086
theweird.space,mastodon,4.2.3,12,2,11,2617
mastodon.melroy.org,mastodon,4.2.3,6,3,3,1314
precure.ml,mastodon,4.2.3,358,30,51,296225
boothcomputing.social,mastodon,4.2.0,3,2,3,4491
mstdn.asterism.xyz,mastodon,4.2.3-plusminus.1,2,2,2,246458
goettingen.social,mastodon,4.2.3,7,3,5,302
pleroma.0x68756773.moe,pleroma,2.6.0,2,2,2,729
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,733,173,645,44556
social.pseudo-whiskey.bar,misskey,2023.11.0,4,null,null,148301
anarres.family,mastodon,4.2.0+glitch,13,13,13,23664
amefur.asia,mastodon,4.2.1,1,1,1,195897
hulvr.com,mastodon,4.1.8,48,21,24,48376
msky.haruyjsn.net,misskey,2023.11.1,26,null,null,19919
amastodon.uk,mastodon,4.2.3,32,6,17,4567
tkz.one,mastodon,4.2.0,33857,1400,3540,447172
atergens.com,mastodon,4.2.0,1,1,1,686
zy.gy,akkoma,3.7.1-yf,7,null,null,4254
arthropod.social,mastodon,4.2.0,45,10,16,1396
misskey.ikalga.net,misskey,2023.9.3,3,null,null,1087
reima.rocks,mastodon,4.2.1,1,1,1,1783
soc.kvet.ch,mastodon,4.2.3,4,1,3,2852
gratefuldread.masto.host,mastodon,4.2.3,11,7,8,87067
thecooltable.wtf,mastodon,4.2.1,41,8,14,6513
radfae.social,mastodon,4.2.3,17,3,7,465
me.ns.ci,mastodon,4.2.0,8087,857,1362,1037572
nerdcore.social,akkoma,3.10.4,5,1,1,9
gancio.cisti.org,gancio,1.8.0,168,null,null,3564
einestages.friediversum.de,mastodon,4.2.3,2,2,2,2118
akkoma.thesandbox.net,akkoma,3.9.3,3,1,2,1021
social.everythingbagel.me,mastodon,4.3.0-alpha.0,4,4,4,480
m.doany.io,misskey,2023.11.1,12,null,null,173
social.mckendrick.io,mastodon,4.2.3,1,1,1,111
socialnotwork.net,mastodon,4.0.2,36,12,24,7578
borahae.love,mastodon,4.3.0-alpha.0+glitch,152,6,37,5947
misskey.parpok.lomza.pl,misskey,2023.11.1,14,null,null,2287
mattsimpson.ca,wordpress,6.4.2,2,2,2,107
pleroma.neuromante.net,akkoma,3.10.4-1-gebfb617b,5,2,2,6774
genau.qwertqwefsday.eu,foundkey,13.0.0-preview6,6,1,4,17758
a11y.social,mastodon,4.1.4,87,21,39,1894
wikis.world,mastodon,4.2.3,163,103,138,33799
