domain,application,version,users,MAU,HYAU,posts
prattohome.com,mastodon,4.2.3,1,1,1,4199
social.doggoat.de,mastodon,4.2.3,4,3,4,805
relay.fedibird.com,pub-relay,0.2.1,1,null,null,0
pleroma.0x68756773.moe,pleroma,2.6.0,2,2,2,1437
misskey.zerozaski.tech,misskey,12.110.1,4,2,3,35532
pleroma.tevps.net,pleroma,2.5.2-13-g2d193861,2,2,2,121
test.mascodon.jp,mastodon,4.2.3+mscdn,2,1,2,47
m5y.usuyuki.net,misskey,2023.12.0,1,null,null,4746
shitpost.cloud,pleroma,2.6.50-872-gcb3e0462.develop+soapbox,146,32,84,54621
misskey.yufarch.com,misskey,2023.12.2,3,null,null,105
fediscience.org,mastodon,4.1.9,5411,1566,2879,425060
mi.kuropen.org,misskey,2023.12.0,4,null,null,3357
msky.crawling-with-love.com,misskey,13.6.1-flestudio-v1.1.3,13,null,null,67305
carfree.city,hometown,4.0.10+hometown-1.1.1,28,9,17,13887
fed.chris-shaw.dev,mastodon,4.2.3,1,1,1,55
killyour.dad,pleroma,2.5.54-640-gacbec640.develop+soapbox,4,1,3,11
meganekeesu.tokyo,mastodon,4.1.6,25,8,12,194215
pravda.me,mastodon,4.1.6,228890,13100,188552,1484963
phocks.eu.org,mastodon,4.2.3,1,1,1,4873
austintexas.social,mastodon,4.2.1,28,2,6,25350
misskey.osyakasyama.me,misskey,2023.12.2,3,null,null,4240
firefish.uryokurin.net,firefish,1.0.5-rc,4,2,2,195
mi.nu1.dev,misskey,2023.11.1,5,null,null,1770
honi.stesan.dev,misskey,13.14.2-steskey-v31,9,null,null,126185
miau.jeder.pl,iceshrimp,2023.12.1,6,4,4,30877
summary.ink,misskey,2023.12.0,123,null,null,16458
mk.tenpest-moon.uk,misskey,12.119.2,4,2,2,17370
verbraucherzentrale.social,mastodon,4.1.9,8,4,8,273
fedi.hu-e.uk,akkoma,3.10.4,1,1,1,57
allships.run,mastodon,4.2.3,284,103,163,234202
idlethumbs.social,mastodon,4.2.3,486,109,162,26077
mstdn.jaws-ug.okinawa,mastodon,4.2.3,40,4,4,7741
growers.social,mastodon,4.2.3,112,26,72,6293
mastodon.coffee,mastodon,4.2.1,1390,247,444,269185
fedi.gbdev.io,mastodon,4.1.5,3,3,3,100
lunar.place,firefish,1.0.5-rc,3,2,2,9832
social.zwoelfdreifuenfundvierzig.net,mastodon,4.2.0,5,1,2,14013
forwriter.homes,misskey,13.12.0,231,null,null,10513
lepoulsdumonde.com,mastodon,4.3.0-alpha.0,55,51,53,16424
peertube.touhoppai.moe,peertube,6.0.0,6,1,3,155
onsen-musume.fun,misskey,2023.12.2,40,null,null,91958
social.lightbeamapps.com,mastodon,4.2.3,3,3,3,1548
cld1.ains-no-misskey.com,misskey,2023.12.2,3,null,null,317
esper.lol,mastodon,4.2.3,9,3,3,929
rascalking.com,gotosocial,0.13.0 git-f4fcffc,1,null,null,2200
cryptodon.chat,mastodon,4.2.3,45,9,24,16212
federation.network,sharkey,2023.12.0,256,null,null,42008
mastodon.laurenweinstein.org,mastodon,4.2.3,1,1,1,16087
m.upsilo.net,mastodon,4.1.11,1,1,1,5285
kawane.misskey.online,misskey,2023.11.1,12,null,null,1861
darmstadt.social,mastodon,4.2.3,1198,265,454,87714
mister.computer,mastodon,4.2.0,1,1,1,2859
boing.world,mastodon,4.3.0-alpha.0+glitch,49,6,10,13648
atx.pub,mastodon,4.1.5+glitch,61,22,33,4862
mstdn.b-shock.org,mastodon,4.2.3,42,9,9,118685
yamagadon.com,mastodon,4.2.3,2,1,1,993
black.len-q-phantom.stream,misskey,2023.12.2,32,null,null,58958
blahaj.social,mastodon,4.3.0-alpha.0,139,63,92,33655
fedi.itepechi.me,akkoma,3.10.3+bnakkoma,2,2,3,57
kotori.tannu.cyou,firefish,1.0.5-rc+neko:240111.fd,5,4,4,1412
gladtech.social,mastodon,4.2.0,77,24,53,8356
pullopen.xyz,mastodon,4.2.3,392,210,289,617279
novelskey.tarbin.net,misskey,13.14.2-tanu-1.43.4,6961,null,null,2526772
voi.social,mastodon,4.2.3,85,17,27,4900
wxw.moe,mastodon,4.1.4~wxw,22552,3981,6236,8636370
hoshipaso.com,wordpress,6.4.2,1,1,1,93
mastodon.nyanshell.com,mastodon,4.2.3,5,1,1,296
hax0rbana.social,mastodon,4.1.7,18,4,7,2733
blimey.social,akkoma,3.10.4-0-gebfb617,9,3,8,2190
mstdn.sagami-yashiro.net,mastodon,4.2.1,2,1,1,832
tmss2291-1.hostdon.ne.jp,mastodon,4.2.1,1,1,1,99
eientei.org,pleroma,2.6.0-478-gc8a285d4-eientei,355,82,222,109839
press.invincible.ink,wordpress,6.4.2,1,1,1,3653
hoto.moe,misskey,2023.12.0,237,null,null,41268
bladerunner.social,hometown,4.0.10+hometown-1.1.1,11,6,7,2795
quietplace.xyz,misskey,2023.12.0,532,null,null,43763
geeknews.chat,mastodon,4.2.3,47,5,9,12641
miss.kabeuchi.monster,misskey,2023.12.1,6,null,null,1863
thecooltable.wtf,mastodon,4.2.3,41,5,14,6639
mastodon.praxis.red,mastodon,4.2.0,9,3,5,780
foxgirl.lol,pleroma,2.6.50-878-g48ce0783.develop+soapbox,2,2,2,1139
obapom.work,mastodon,4.2.0,22,17,17,119093
satanodon.com,mastodon,4.2.3,76,15,22,4577
earthstream.social,mastodon,4.2.2,1335,96,258,19866
mi.thalamostechnology.space,misskey,2023.12.2,7,null,null,51
mona.do,mastodon,3.4.6,1435,356,488,583745
social.kazehiko.com,mastodon,4.2.1,1,1,1,1816
saskodon.ca,mastodon,4.2.3,9,9,9,3807
mstdn.mv2k.com,mastodon,4.2.3,1,1,1,2190
microblog.at,mastodon,4.2.3,5,3,3,6897
social.mkj.earth,mastodon,4.2.3,2,2,3,806
hackaday.social,mastodon,4.2.0,46,22,27,5494
mstdn.vodka,mastodon,4.2.3,34,6,8,16678
kanina.be,mastodon,4.1.7,13,2,5,6433
homo.promo,mastodon,4.2.3,2,2,2,9264
donadvr.de,mastodon,4.2.3,3,3,3,137
msk.i-red.info,misskey,2023.12.2,35,null,null,2450
essjax.com,mastodon,4.2.3,1,1,1,2844
digipres.club,hometown,4.0.10+hometown-1.1.1,699,244,376,102695
4bear.com,mastodon,4.2.0,1203,367,756,99766
social.jigmedatse.com,mastodon,4.2.3,3,3,3,2985
soc.kvet.ch,mastodon,4.2.3,4,1,3,3025
peertube.fenarinarsa.com,peertube,6.0.2,5,2,2,1372
social.dimitar.dev,gotosocial,0.11.1 git-c7a46e0,1,null,null,26
paper.wf,writefreely,0.13.2,16722,null,2443,50803
www.setouchiexplorer.com,wordpress,6.4.2,1,1,1,1073
cawfee.club,pleroma,2.5.1-4-g242dc2f8-develop-20231230,1605,82,142,297509
falk.cafe,mastodon,4.2.3,4,2,3,1017
froggie.gay,sharkey,2023.12.0,36,null,null,16843
microblog.social,firefish,1.0.3,17,4,9,14787
chin-co-ne.co,mastodon,4.2.1,1,1,1,102179
sumanko.com,mastodon,4.3.0-alpha.0+glitch,4,4,4,4757
pennytucker.social,mastodon,4.2.3,1,1,1,729
kirishima.cloud,mastodon,4.3.0-alpha.0+glitch,548,118,180,2471678
headpat.cafe,akkoma,3.10.4-0-g0af8e93,123,24,56,864
mastodon.gargantia.fr,mastodon,4.2.0,1,1,1,4813
fedi.catgirlin.space,firefish,1.0.3,4,1,3,4706
fedi.criminallycute.fi,akkoma,3.10.3-221-g6fb91d79-develop,10,7,12,6412
social.horak.hu,gotosocial,0.13.0 git-f4fcffc,1,null,null,126
mastodon.sambands.net,mastodon,4.3.0-alpha.0+glitch,5,4,4,90
misskey.srgr0.com,misskey,2023.12.1,4,null,null,231
mastodon.falktx.com,mastodon,3.0.1,1,1,1,1403
darkfriend.social,mastodon,4.2.3,165,28,81,23075
tmux.f5.si,mastodon,4.2.3,1,1,1,2226
tilde.zone,mastodon,4.3.0-alpha.0+glitch,2042,476,745,261847
premis.one,misskey,2023.12.0,113,null,null,80711
thias.hellqui.st,akkoma,3.10.4-0-gebfb617,1,1,1,1470
dev.fedicity.net,mastodon,4.2.0,1,0,1,28
s.und.ooo,snac,2.42-dev,3,1,2,32470
leds.social,mastodon,4.2.3,42,25,32,4237
s.yelvington.com,mastodon,4.2.3,3,1,1,5657
social.mykolayiv.dcomm.net.ua,mastodon,4.1.10,34,5,9,6993
social.jvan.be,mastodon,4.1.10,2,2,2,160
redfuku.com,misskey,2023.12.2-WKH0.1,37,null,null,46978
feuerwehr.social,mastodon,4.2.3,1407,779,1101,15113
bananachips.club,hometown,4.0.6+hometown-1.1.1,36,16,20,89863
social.proximitysculptor.com,mastodon,4.2.0-rc2+glitch,2,1,1,608
pleromashit.nexus,pleroma,2.6.1-418-g6722b7f3,6,6,6,554
comp.lain.la,pleroma,2.6.0,72,24,54,13403
burningboard.net,mastodon,4.2.3,112,49,49,6662
mi.arkw.work,misskey,2023.12.2,3,null,null,1642
pubeurope.com,mastodon,4.1.9,4,3,4,87516
syringa.social,mastodon,4.2.1,122,30,61,17840
astrian.social,mastodon,4.2.3,5,3,3,3992
wasnever.cool,mastodon,4.2.3,2,1,1,422
koreadon.com,mastodon,4.2.3,169,0,5,224616
mostr.pub,mostr,1.0.0,0,0,0,0
mk.catgirlsfor.science,firefish,1.0.5-rc,36,18,25,47958
fearness.org,sharkey,2023.12.0,4,null,null,4042
mastodon.brendans-bits.com,mastodon,4.2.3,1,1,1,29
meow.church,akkoma,3.10.3-0-g43c5fd5,9,7,10,202
covelline.social,mastodon,4.2.1,7,6,7,643
nullio.net,mastodon,4.2.3,1,1,1,12
gluck.cc,mastodon,4.2.3,5,5,5,1458
ottawa.place,hometown,4.0.10+hometown-1.1.1,216,70,107,55163
mi.4587-aya-0p.work,misskey,2023.12.2,9,null,null,29
itabashi.0j0.jp,mastodon,3.1.4,100,18,233,143154
theweird.space,mastodon,4.2.3,12,2,4,2764
fedi.anarchy.moe,pleroma,2.1.2,4,null,null,984
mastodon.melroy.org,mastodon,4.2.3,6,2,3,1381
shirogal.xyz,misskey,2023.11.1,49,null,null,82
mstdn.asterism.xyz,mastodon,4.2.3-plusminus.1,2,2,2,250053
mastodon.theshowshow.tv,mastodon,4.2.1,16,3,9,373
goettingen.social,mastodon,4.2.3,7,2,5,322
feddit.uk,lemmy,0.19.2,3106,432,996,7425
social.pseudo-whiskey.bar,misskey,2023.11.0,4,null,null,153312
aut.social,mastodon,4.2.3,311,103,186,13836
ma.fellr.net,mastodon,4.2.3,1,1,1,4500
mander.xyz,lemmy,0.19.2,1153,157,351,6412
amefur.asia,mastodon,4.2.1,1,1,1,198489
pigeons.club,mastodon,4.1.2,9,2,3,470
amastodon.uk,mastodon,4.2.3,32,6,14,4633
allthingstech.social,mastodon,4.2.3,337,101,265,32860
atergens.com,mastodon,4.2.0,1,1,1,732
zy.gy,akkoma,3.7.1-yf,7,null,null,4474
mustardon.tokyo,mastodon,4.2.1,330,3,4,49673
nejimaki-radio.com,wordpress,6.4.2,1,1,1,356
gender.systems,mastodon,4.3.0-alpha.0+glitch,36,23,30,15990
arthropod.social,mastodon,4.2.0,45,11,15,1471
x0f.org,mastodon,4.2.1,36,18,23,25363
misskey.ikalga.net,misskey,2023.9.3,3,null,null,1190
mi.ekke.jp,misskey,13.14.2,3,null,null,120
reima.rocks,mastodon,4.2.1,1,1,1,1924
oxytodon.com,mastodon,4.2.3,1,1,1,3950
firefish.city,firefish,1.0.3,6,4,5,2005
bolha.us,mastodon,4.2.3,1731,269,581,57557
nerdcore.social,akkoma,3.10.4,5,1,1,9
gancio.cisti.org,gancio,1.11.0,171,null,null,3633
cuties.social,mastodon,4.2.3,40,30,33,128794
mstdn.kurosuke.org,mastodon,4.3.0-alpha.0,2,0,1,571
social.tourmentine.com,pleroma,2.6.0,2,1,7,4590
akkoma.thesandbox.net,akkoma,3.9.3,3,2,2,930
feddit.nl,lemmy,0.19.2,2492,382,1131,4176
elekk.xyz,mastodon,4.1.4+glitch,2336,104,153,1561606
mattsimpson.ca,wordpress,6.4.2,2,2,2,107
pleroma.neuromante.net,akkoma,3.10.4-1-gebfb617b,5,1,2,6888
genau.qwertqwefsday.eu,foundkey,13.0.0-preview6,6,3,4,17244
tzcafe.com,mastodon,4.2.3,225,40,63,26537
peertube.gargantia.fr,peertube,6.0.0,3,2,2,827
desu.social,mastodon,4.2.3,1,1,1,12012
ramen-fsm.eu.org,mastodon,3.5.3~hello,764,242,412,239867
schaumburg.social,mastodon,4.2.1,28,25,25,56563
hidamari.apartments,pleroma,2.6.51-338-gf74f5e0a-develop,6,5,6,41758
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,93,9,25,56651
maeh.social,mastodon,4.2.3,1,1,1,1484
gn-tronics.dev,mastodon,4.2.0,2,2,2,555
pixelfed.tokyo,pixelfed,0.11.9,3726,163,782,262024
social.opendesktop.org,mastodon,4.2.0,1416,42,117,3619
masto.futbol,mastodon,4.2.3,3,3,3,526
socel.net,mastodon,4.2.3,8419,655,1471,349169
slashine.onl,mastodon,4.2.3,461,115,178,287832
social.lfx.dev,mastodon,4.2.3,22,10,13,882
dev.fedibird.com,fedibird,0.1,3,1,3,8
fedi.codepenguin.io,firefish,1.0.3,11,4,9,7929
people.unfoo.net,akkoma,3.10.4,6,2,3,53
x.nichipon.com,mastodon,4.2.1,1,1,1,19
akkoma.becutewith.me,akkoma,3.10.4-1-gebfb617b,2,2,2,46
attractive.space,mastodon,4.1.0,42,10,18,9877
troublemaker.social,mastodon,4.2.3,1,1,1,2160
brain.worm.pink,akkoma,3.10.4-3-g8660dcae,50,24,37,13409
toot.berlin,mastodon,4.2.3,928,158,243,56601
toast.dragon2611.net,mastodon,4.2.3,2,2,2,1756
discuss.tchncs.de,lemmy,0.19.2,5507,856,2294,7086
social.aa.net.uk,mastodon,4.2.1,7,3,6,544
poweredbygay.social,mastodon,4.2.3,1329,70,219,17071
toots.social,mastodon,4.2.3,934,42,42,48105
toot-lab.reclaim.technology,mastodon,4.1.4+glitch,3,1,1,308284
pawb.fun,mastodon,4.2.0+glitch,1427,394,887,121375
akko.dontexist.org,akkoma,3.10.4-0-gebfb617,1,1,1,34
social.chriswb.dev,gotosocial,0.13.1 git-ccecf5a,1,null,null,306
social.globalpirates.net,mastodon,4.1.4,119,12,44,7485
ika.queloud.net,mastodon,3.5.3,3061,399,731,1733980
kopiti.am,mastodon,4.2.0,1256,145,253,67715
mtdn.zenmai.org,mastodon,4.2.0,4,1,4,2814
wk30.com,mastodon,4.2.3,1,1,1,9
furries.club,mastodon,4.2.1+orcas2,911,254,542,49441
climatejustice.social,mastodon,4.2.2-stable+ff1,9741,966,2292,418245
fex.techbio.eu,owncast,0.1.2,1,1,1,99
mastodon.sg,mastodon,4.2.3,206,46,143,7333
misskey.nrps.xyz,misskey,2023.11.1,5,null,null,60
mastodon.gideonstar.de,mastodon,4.2.3,1,1,1,1313
mastodon.acc.sunet.se,mastodon,4.1.8,457,48,83,49430
akkoma.nl,akkoma,3.10.4-0-gebfb617,6,3,4,69
beamship.mpaq.org,mastodon,4.2.3,7,7,9,3493
longlandclan.id.au,mastodon,4.2.3,2,1,2,18620
tiz.social,mastodon,4.2.1,30,5,28,218
social.matsuuratomoya.com,mastodon,4.2.0,1,1,1,958
togart.de,mastodon,4.2.1,1,1,1,984
don.mamemo.online,mastodon,4.2.0,37,11,14,294092
gts.motcha.tech,gotosocial,0.11.1 git-c7a46e0,1,null,null,2160
mstdn.dsj-toot.com,mastodon,4.3.0-alpha.0,3,3,3,408
devil-children-alitaso.com,mastodon,4.1.1,7,2,3,20806
social.alexschroeder.ch,gotosocial,0.11.1 git-c7a46e0,1,null,null,2864
comfyboy.club,pleroma,2.5.5,11,4,11,30117
toot.zof.sh,mastodon,4.2.1,1,1,1,678
dabr.ca,pleroma,2.5.2-13-g2d193861,27,18,22,19279
precure.ml,mastodon,4.2.3,358,34,49,300250
hvac-tf.net,misskey,2023.12.0,11,null,null,33623
pdx.social,mastodon,4.2.3,497,201,274,128410
m.doany.io,misskey,2023.12.2,10,null,null,147
freiburg.social,mastodon,4.2.1,2525,610,1068,167119
vortex.masto.host,mastodon,4.2.3,8,5,6,1141
forall.social,mastodon,4.2.3,240,38,77,35103
hoshipaso.info,mastodon,4.2.1,1,1,1,221
definitely.social,hometown,4.0.10+hometown-1.1.1,18,8,11,1376
mstdn.fujii-yuji.net,mastodon,4.2.1,1,1,1,45376
squawk.social,mastodon,4.2.0,93,46,71,24550
