domain,application,version,users,MAU,HYAU,posts
videos.benjaminbrady.ie,peertube,3.1.0,3048,110,743,0
video.cnr.it,peertube,4.2.2,2975,257,1083,378
tube.kekmahub.com,peertube,4.1.1,2547,112,765,176
video-liberty.com,peertube,4.3.0,2089,29,125,3718
greatview.video,peertube,3.0.0,2000,4,7,116
serv3.wiki-tube.de,peertube,2.4.0,2000,null,null,8125
thecool.tube,peertube,3.0.0,1950,17,134,1104
vid.samtripoli.com,peertube,5.2.1,1948,2,11,1726
peervideo.ru,peertube,6.0.4,1497,34,96,5820
kraut.zone,peertube,5.0.1,1483,28,112,542539
peertube.fr,peertube,5.1.0,1455,34,109,21723
videos.lukesmith.xyz,peertube,5.2.1,1429,4,21,488
poast.tv,peertube,6.0.3,1375,104,208,519682
skeptube.fr,peertube,4.1.1,1361,12,53,308
peertube.bgzashtita.es,peertube,6.0.4,1326,16,55,17586
peervideo.club,peertube,6.0.3,1257,64,172,474627
video.eradicatinglove.xyz,peertube,4.1.1,1168,56,227,145
tubedu.org,peertube,6.0.3,1085,48,179,4049
tube.rhythms-of-resistance.org,peertube,3.4.1,1000,0,5,52
www.kotikoff.net,peertube,5.0.1,985,1,3,23032
tube.ac-lyon.fr,peertube,3.3.0,911,37,102,12146
vulgarisation-informatique.fr,peertube,6.0.3,906,0,8,1913
tube.xy-space.de,peertube,6.0.4,897,62,133,4138
p2ptv.ru,peertube,4.3.1,878,3,14,26320
tube.kh-berlin.de,peertube,5.1.0,854,15,225,1002
peertube.otakufarms.com,peertube,5.2.0,845,159,644,159320
player.ojamajo.moe,peertube,6.0.2,807,66,164,2594
noagendatube.com,peertube,6.0.3,806,17,73,16156
www.yiny.org,peertube,6.0.4,798,16,42,3367
tv.pirati.cz,peertube,5.2.1,758,47,192,246
exode.me,peertube,6.0.3,752,5,12,37707
video.barkoczy.social,peertube,6.0.2,715,2,18,33956
tube.taker.fr,peertube,5.0.1,649,0,2,9135
fediverse.tv,peertube,5.2.1,625,113,237,31437
fedimovie.com,peertube,6.0.4,563,65,152,2928
videos.testimonia.org,peertube,6.0.2,558,1,2,2167
video.infosec.exchange,peertube,6.0.4,555,22,62,396393
scitech.video,peertube,4.1.1,545,3,6,179
videos.pair2jeux.tube,peertube,6.0.2,543,18,50,83822
tube.spdns.org,peertube,4.3.0,523,49,178,123870
fair.tube,peertube,6.0.2,517,30,149,43432
lostpod.space,peertube,6.0.3,500,7,58,91213
peertube.linuxrocks.online,peertube,6.0.4,498,29,100,53847
video.tedomum.net:443,peertube,6.0.4,498,19,47,152456
video.tedomum.net,peertube,6.0.4,497,20,47,152692
peertube.cipherbliss.com,peertube,5.0.1,497,0,6,73734
stream.udk-berlin.de,peertube,6.0.4,489,20,105,569
spectra.video,peertube,6.0.4,483,97,231,40865
kumi.tube,peertube,6.0.0,470,21,50,4584
makertube.net,peertube,6.0.4,442,111,285,85948
videos.shmalls.pw,peertube,4.3.1,410,8,23,53572
streamsource.video,peertube,6.0.4,391,7,18,1061
peertube.chatinbit.com,peertube,6.0.3,374,30,72,13240
tube.crapaud-fou.org,peertube,6.0.3,369,2,8,54505
seka.pona.la,peertube,5.1.0,337,40,129,143
tube.midov.pl,peertube,5.1.0,323,9,19,64232
peertube.eus,peertube,6.0.4,319,35,90,1585
videos.icum.to,peertube,6.0.2,302,36,100,38
dangly.parts,peertube,5.2.1,286,11,29,88
video.ploud.jp,peertube,6.0.3,280,46,117,255974
tv.mattchristiansenmedia.com,peertube,6.1.0-rc.1,274,2,11,285348
tgi.hosted.spacebear.ee,peertube,6.0.3,271,0,11,296687
garr.tv,peertube,6.0.3,267,79,247,3279
p.eertu.be,peertube,6.0.2,255,7,16,276678
peertube.be,peertube,6.0.2,255,7,16,276860
video.valme.io,peertube,3.0.1,248,1,1,112
peertube.lyclpg.itereva.pf,peertube,3.2.1,247,11,35,455
review.peertube.biz,peertube,6.0.4,245,1,5,492422
video.nogafam.es,peertube,5.1.0,244,1,14,506
fstube.net,peertube,6.0.2,243,79,152,1648
video-cave-v2.de,peertube,6.0.3,240,12,24,1125
grypstube.uni-greifswald.de,peertube,4.3.0,240,31,99,1387
t.wtyl.live,peertube,6.0.3,231,60,114,3070
peertube.archive.pocketnet.app,peertube,4.2.2,213,18,96,34830
tv.lumbung.space,peertube,5.0.1,211,5,14,175
toobnix.org,peertube,5.2.1,210,23,49,1836
portal.digilab.nfa.cz,peertube,6.0.3,210,79,106,133
hitchtube.fr,peertube,6.0.4,204,7,14,74826
spook.tube,peertube,6.0.4,200,151,151,207
peertube.in.ua,peertube,6.0.3,198,37,106,267832
media.mwit.ac.th,peertube,6.0.4,195,16,97,256
video.sonet.ws,peertube,4.1.1,192,7,36,1290
videos.scanlines.xyz,peertube,6.0.3,190,7,45,579
www.vnshow.net,peertube,6.0.4,165,4,8,1190
peertube.nodja.com,peertube,6.0.4,161,8,33,551
kodcast.com,peertube,6.0.4,159,9,25,19768
tv.pirateradio.social,peertube,5.1.0,158,15,49,906
peertube.debian.social,peertube,4.3.0,148,5,15,7115
nicecrew.tv,peertube,6.1.0-rc.1,141,70,129,7313
video.sadmin.io,peertube,6.0.4,134,6,39,562282
peer.lukeog.com,peertube,5.0.1,133,2,6,10262
tube.futuretic.fr,peertube,6.0.4,124,13,24,968
video.glassbeadcollective.org,peertube,1.1.0,123,null,null,79
tube.pol.social,peertube,5.2.1,122,40,95,3446
video.mycrowd.ca,peertube,6.0.4,121,5,17,20976
videos.lescommuns.org,peertube,5.1.0,121,7,12,5389
bitcointv.com,peertube,3.4.1,120,7,19,5141
video.linux.it,peertube,5.2.1,114,7,22,343
video.wsforum.net,peertube,5.2.1,114,2,4,229
tube.ac-amiens.fr,peertube,3.4.1,113,1,2,840
urbanists.video,peertube,6.0.4,108,23,46,1714
offenes.tv,peertube,5.1.0,106,1,1,566
indymotion.fr,peertube,6.1.0-rc.1,104,29,58,3170
watch.ignorance.eu,peertube,3.2.1,104,0,0,2805
pt.vern.cc,peertube,5.2.1,103,4,10,11
lastbreach.tv,peertube,5.2.1,100,0,1,200
peertube.redpill-insight.com,peertube,5.2.1,100,1,2,374
ww3.vnchich.cc,peertube,6.0.4,100,100,100,1195
peertube.get-racing.de,peertube,5.2.1,99,7,29,11
lawsplaining.peertube.biz,peertube,6.0.4,95,2,6,177665
peertube.ethibox.fr,peertube,6.0.4,93,0,3,74
videos.domainepublic.net,peertube,6.0.1,92,18,31,7559
classe.iro.umontreal.ca,peertube,6.0.4,90,11,25,561
runtube.re,peertube,6.0.3,89,10,15,528755
peertube.nz,peertube,6.0.4,89,2,17,3461
tube.kla.tv,peertube,6.0.3,87,83,83,22048
watch.nuked.social,peertube,5.2.1,86,1,8,1817
tube.skrep.in,peertube,5.2.1,84,6,9,109371
nadajemy.com,peertube,6.0.4,80,3,12,2106
astrotube.obspm.fr,peertube,6.0.4,80,9,22,401
birdtu.be,peertube,4.3.1,79,8,12,4201
peertube.gsugambit.com,peertube,4.2.2,79,0,2,120
tube.kher.nl,peertube,6.0.4,76,5,14,10182
peertube.laas.fr,peertube,6.0.3,76,15,35,274
openmedia.edunova.it,peertube,5.0.1,76,21,33,183
peertube.netzbegruenung.de,peertube,6.0.4,74,8,15,263
vigilante.tv,peertube,6.0.3,73,58,67,16945
v.lor.sh,peertube,6.0.4,72,2,14,168
share.tube,peertube,6.0.3,70,3,10,3207
tube.sp-codes.de,peertube,6.0.4,69,9,13,10266
peertube.ignifi.me,peertube,6.0.3,68,1,6,5072
tube.fdn.fr,peertube,5.2.1,68,3,11,2510
