domain,application,version,accounts,MAU,HYAU,posts
fedi.kutno.pl,$INSTANCE$softwareName$,$INSTANCE$softwareVersion$,2,1,1,31
fedi.alemi.dev,??pub,0.7.3,2,1,1,772
llun.dev,activities.next,0.1.7,1,126,288,150
www.llun.me,activities.next,0.1.7,1,126,288,150
activity.xsrv.win,activity.xsrv.win,1,1,null,null,1
relay.gamelinks007.net,activity-pub-relay,0.8.0,1,null,null,0
mofu-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
tasty-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
relay.fedi.agency,activityrelay, 0.3.5,1,0,0,0
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
relay.c.im,activityrelay, 0.3.2,1,0,0,0
relay.uggs.io,activityrelay, 0.3.5,1,0,0,0
en.relay.friendi.ca,activityrelay, 0.3.4 be21b30d61cc9de28bf16c6db4e1be6ec2df3fe4,1,0,0,0
relay.froth.zone,activityrelay, 0.3.5,1,0,0,0
relay.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.adtension.com,activityrelay, 0.2.4,1,0,0,0
relay.shc.kanagawa.jp,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.better.boston,activityrelay, 0.2.0 ???,1,null,null,0
relay.kretschmann.social,activityrelay, 0.2.4 15b1324df280c87f6496da07cab056f7d2809360,1,0,0,0
relay.krems.social,activityrelay, 0.2.3,1,null,null,0
relay.21314.de,activityrelay, 0.3.1,1,0,0,0
relay.lazylabs.co,activityrelay, 0.2.4 bbdc151ed301c9de82d18fecd8af4ba0061b635f,1,0,0,0
relay.witter.cz,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.social.net.ua,activityrelay, 0.2.4 df231e3b51523047267453ba6500263c4cb24503,1,0,0,0
relay-bc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.skinheads.social,activityrelay, 0.3.5,1,0,0,0
relay-nb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-tw.seediqbale.xyz,activityrelay, 0.3.5,1,0,0,0
relay.mastodon.ml,activityrelay, 0.3.5,1,0,0,0
relay.todon.eu,activityrelay, 0.3.5,1,0,0,0
relay.joelle.us,activityrelay, 0.2.2,1,null,null,0
relay.1d4.us,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.b0x.social,activityrelay, 0.2.3,1,null,null,0
relay-qc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-pe.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.mp-development.de,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.darmstadt.social,activityrelay, 0.2.2,1,null,null,0
relay-ap.nobigtech.es,activityrelay, 0.1 80a8c9b391a6332b535ea3d2151d2f1516aa5059,1,null,null,0
relay-ab.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
pubrelay.moegirl.live,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
c9e664de3c4640278b5024636d29d8e3.gothloli.club,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
relay.girino.org,activityrelay, 0.3.5,1,0,0,0
relay-nl.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-sk.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-mb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-on.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ns.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
aprelay.real-ity.com,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
fe.disroot.org,akkoma,3.16.0-0-g6d88834,3720,373,957,62068
blob.cat,akkoma,3.13.2-0-gcccd7450e-blob,1953,77,163,680511
fedi.absturztau.be,akkoma,3.16.0-53-g01406437-develop,1375,69,124,954892
genserver.social,akkoma,3.16.0-0-g6d88834,1044,34,87,9292
outerheaven.club,akkoma,3.15.1-0-g7eec493,871,87,135,589073
miraiverse.xyz,akkoma,3.16.0-0-g6d88834,772,54,104,61648
seafoam.space,akkoma,3.13.2-0-g050bc74,324,10,22,35910
pleroma.envs.net,akkoma,3.16.0-0-g6d88834,321,56,86,60027
nixnet.social,akkoma,3.13.2-0-g050bc74,320,15,32,30107
rebelbase.site,akkoma,3.16.0-0-g6d88834,318,14,25,34635
labyrinth.zone,akkoma,3.16.0,221,85,119,266585
ak.vern.cc,akkoma,3.15.2,201,6,13,30762
donotsta.re,akkoma,3.15.2-0-g5bceb1d,190,72,102,159715
brain.worm.pink,akkoma,3.15.2,190,42,92,108669
infosec.place,akkoma,3.16.0,149,19,35,3580
void.lgbt,akkoma,3.15.2-0-g5bceb1d,135,67,101,101716
akko.wtf,akkoma,3.16.0-1186-g71434c13-akko-wtf,125,43,65,235462
froth.zone,akkoma,3.16.0-3057-g99c2ef6f-froth-zone,122,7,12,138723
lesbi.in,akkoma,3.13.2,119,2,4,14583
social.translunar.academy,akkoma,3.15.2-0-g5bceb1d,116,57,87,231222
pleasetf.me,akkoma,3.15.2,112,75,86,20702
bdx.town,akkoma,3.16.0-0-g071bb07,111,22,37,28964
cooltrans.men,akkoma,3.15.2,110,15,30,19314
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,100,6,8,86976
headpat.cafe,akkoma,3.15.1-0-g7eec493,97,7,23,1129
kowelenz.social,akkoma,3.15.1-0-g7eec493,84,8,11,11664
channel.coolstation.space,akkoma,3.13.2-3-gdc2f0d3b-wl-stable,83,63,74,15716
social.kernel.org,akkoma,3.16.0,78,38,49,13462
corteximplant.net,akkoma,3.16.0-0-g6d88834,76,33,52,16398
akkomane.social,akkoma,3.11.0-0-ga03f3a9,74,17,35,4245
ihatebeinga.live,akkoma,3.16.0-56-ge73d11b7-purge-broken,70,12,15,289283
pl.m0e.space,akkoma,3.13.2-614-g3ff0f46b-develop,66,12,21,10010
posting.isincredibly.gay,akkoma,3.15.2+wl1,63,31,36,5881
foxy.social,akkoma,3.13.2,58,5,7,281
lebensraum.slavery.trade,akkoma,3.10.2,55,41,46,2037
ak.kawen.space,akkoma,3.15.1-0-gfc2c740-develop,51,16,24,82956
suya.place,akkoma,3.15.2-695-g54d568aa-suyaplace,49,22,37,65816
gosuslugi.social,akkoma,3.8.0,46,5,6,291
pinksheep.org,akkoma,3.15.2-0-g5bceb1d,45,1,3,1219
crimew.gay,akkoma,3.15.2-945-g5beb286b-develop,44,7,16,63943
uchu-teien.com,akkoma,3.15.2,43,7,15,20237
duckchat.me,akkoma,3.13.2,43,9,33,9
akkoma.noellabo.jp,akkoma,3.15.2-0-g5bceb1d,42,15,25,545
weague.awful.cloud,akkoma,3.15.2-wl-stable+wl1,41,23,25,3199
woem.space,akkoma,3.15.2,39,16,22,183299
kitty.haus,akkoma,3.16.0-65-g37915121,38,6,11,18220
netzsphaere.xyz,akkoma,3.15.2-0-g5bceb1d,35,12,16,173014
akkoma.mellivora.social,akkoma,3.15.1-0-g4b959437f-wl-stable,32,21,26,8381
rail.siberia.work,akkoma,3.15.2-0-ge924294a2,30,17,35,19678
iscute.moe,akkoma,3.10.4,29,6,6,140646
sweet.succubi.services,akkoma,3.15.2,28,5,8,2106
fedi.catto.garden,akkoma,3.16.0,28,13,21,10992
idealists.su,akkoma,3.10.4-1-gebfb617b,27,6,12,887
haxe.social,akkoma,3.16.0,27,3,6,159
kill-corporations.enterprises,akkoma,3.15.2-0-g5bceb1d,26,8,16,16947
tailswish.industries,akkoma,3.16.0-62-gaf68ab77-tailswish,26,7,10,14009
blobfox.es,akkoma,3.13.2-2006-gef4a28a3-fox,26,4,4,1417
florp.social,akkoma,3.15.2,26,17,21,6225
pr.shc.kanagawa.jp,akkoma,3.13.2-12-gc0823e33-v3-13-2-fix,25,1,2,2443
agda.club,akkoma,3.13.2-0-g050bc74,25,3,4,517
midnight.delivery,akkoma,3.7.1-0-gfef4bae,25,null,null,1036
ng.cathoderay.tube,akkoma,3.15.2-0-g5bceb1d,25,15,18,8349
social.qunn.eu,akkoma,3.16.0-0-g6d88834,25,8,14,1422
novaparis.art.br,akkoma,3.15.2-0-g5bceb1d,24,13,23,1529
xyzzy.link,akkoma,3.15.1,23,11,14,51692
pleroma.viridianpatriots.com,akkoma,3.15.1-0-g7eec493,22,3,7,14377
novo-atlantis.null.media,akkoma,3.15.2,21,6,8,1307
kongwoo.icu,akkoma,3.9.3-0-g9d7c877,20,1,1,7297
larkspur.one,akkoma,3.15.2-984-g9be0782d-lark-develop,20,3,8,5477
bcn.fedi.cat,akkoma,3.14.1-0-g5ae392f,20,14,16,6367
fff.fo.am,akkoma,3.15.2-0-g5bceb1d,20,7,8,1852
akk.novalug.org,akkoma,3.15.2-0-g5bceb1d,20,12,19,109
akkoma.questingbeast.fyi,akkoma,3.13.2-10-g8bbc4714-wl-stable,20,10,13,970
fedi.seriousbusiness.international,akkoma,3.15.2-0-g5bceb1d,19,5,7,10233
akko.chir.rs,akkoma,3.16.0,19,8,10,20095
brainport.social,akkoma,3.16.0,19,0,3,4
mar.archipielago.uno,akkoma,3.13.2,19,14,16,2559
is.badat.dev,akkoma,3.15.2-941-ge2987402-develop,18,3,5,49049
social.duniter.org,akkoma,3.13.2-0-g050bc74,18,5,9,27
java.duke.social,akkoma,3.16.0-60-g6d88834f,18,11,13,26378
ilja.space,akkoma,3.15.2-892-g19dd0ef9-ilja-space,17,3,5,6486
yourwalls.today,akkoma,3.16.0-225-g8bcf3fb3-yourwalls-today,17,12,15,48846
yearning.gay,akkoma,3.16.0-0-g6d88834,17,11,15,30633
nightfeather.cafe,akkoma,3.13.2-0-g050bc74,17,10,15,1622
junipurge.de,akkoma,3.15.2,17,16,22,2717
nyan.network,akkoma,3.15.1,16,11,12,14159
eggware.social,akkoma,3.15.2-0-g5bceb1d,16,14,14,450
3v.is,akkoma,3.10.2,15,4,10,358
magic.win,akkoma,3.13.2-0-g050bc74,15,0,1,82
social.owotel.com,akkoma,3.15.1,15,2,3,183
princess.wedding,akkoma,3.15.2,14,9,9,15886
nerdfight.online,akkoma,3.14.1-0-g5ae392f,14,8,9,9056
ack.nerdfight.online,akkoma,3.14.1-0-g5ae392f,14,8,9,9060
fedi.tilde.green,akkoma,3.15.2,14,4,8,592
bv.umbrellix.org,akkoma,3.15.2,13,3,7,26165
transfeminine.art,akkoma,3.16.0-0-g6d88834,13,8,10,1173
akkoma.ascyltos.social,akkoma,3.15.2,13,3,4,172
fedi.kemonomimi.gay,akkoma,3.16.0-60-g6d88834f,13,3,6,3689
fedi.underpowe.red,akkoma,3.16.0-0-g6d88834,13,5,8,233
ak.kumis.industries,akkoma,3.16.0-0-g6d88834,13,12,12,16764
chirpr.terrenly.com,akkoma,3.10.4-1-gebfb617b,13,0,1,74
