domain,application,version,users,MAU,HYAC,posts
blob.cat,akkoma,3.9.3-0-gd83f5f66f-blob,"1,803",173,383,"570,772"
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,"1,571",46,89,"25,773"
fedi.absturztau.be,akkoma,3.10.3-212-g6cc523bd-develop,"1,364",119,277,"841,130"
fe.disroot.org,akkoma,3.10.4-0-gebfb617,"1,326",298,755,"22,651"
genserver.social,akkoma,3.10.3-0-gc887dd4,973,179,394,"5,314"
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,833,100,290,"118,578"
outerheaven.club,akkoma,3.10.3-0-g43c5fd5,786,107,227,"430,791"
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,732,210,644,"42,591"
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,333,35,107,"1,674"
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,306,43,87,"5,914"
nixnet.social,akkoma,3.10.2-0-gba1ed37,304,46,103,"29,611"
detroitriotcity.com,akkoma,3.10.2-0-gba1ed37,224,58,165,"48,320"
pleroma.envs.net,akkoma,3.10.4-0-g0af8e93,214,49,95,"17,104"
freespeech.group,akkoma,3.10.4-0-gebfb617,203,6,8,"35,682"
akko.disqordia.space,akkoma,3.9.3,149,44,99,"159,893"
mycrowd.ca,akkoma,3.10.4-1-gebfb617b,144,23,84,"84,626"
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,112,7,17,"101,636"
akko.wtf,akkoma,3.10.3-212-g6cc523bd-develop,110,66,99,"106,095"
seafoam.space,akkoma,3.10.4-0-gebfb617,105,31,72,"26,761"
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,95,12,31,"52,846"
headpat.cafe,akkoma,3.10.4-0-g0af8e93,94,39,59,734
decept.org,akkoma,3.9.3-0-g9d7c877,93,20,31,"13,293"
triangle.social,akkoma,3.8.0,82,2,42,"12,813"
bdx.town,akkoma,3.9.3-0-g80519fe,80,43,91,"15,136"
donotsta.re,akkoma,3.10.4-0-gebfb617,75,29,41,"9,989"
infosec.place,akkoma,3.9.3,74,13,42,"2,455"
ihatebeinga.live,akkoma,3.10.3-194-g063e3c0d-develop,70,13,22,"289,382"
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,70,10,35,910
social.kernel.org,akkoma,3.10.3,62,39,46,"7,201"
monk.ey.business,akkoma,3.10.4-1-gebfb617b,62,51,54,"9,609"
neue.city,akkoma,3.7.1,60,null,null,"23,554"
