domain,application,version,accounts,MAU,HYAU,posts
c3po.bashell.com, microblogpub, Microblog.pub de607e9e3946+,1,null,null,3
kniebes.com,Activity Pub Server,0.1,1,null,null,25
grumpyoldman.de,Activity Pub Server,0.1,1,null,null,12
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
fe.disroot.org,akkoma,3.13.2-0-g050bc74,1884,310,826,30160
blob.cat,akkoma,3.10.4-0-gf5134be53-blob,1862,120,240,618906
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1580,31,71,23979
fedi.absturztau.be,akkoma,3.13.1-466-g21a81e11-develop,1373,90,185,875381
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,1238,126,476,123108
genserver.social,akkoma,3.13.2-0-g050bc74,1005,103,229,6970
outerheaven.club,akkoma,3.12.0-0-gd71d523,811,99,153,494872
miraiverse.xyz,akkoma,3.13.2-0-g050bc74,742,113,215,51900
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,417,15,88,2838
pl.nudie.social,akkoma,3.13.1-512-gc02e3432,347,42,75,1726
nixnet.social,akkoma,3.13.2-0-g050bc74,324,36,88,28646
oddballs.online,akkoma,3.10.4-0-gebfb617,307,156,250,26957
detroitriotcity.com,akkoma,3.13.1-0-gc02e343,260,61,124,93599
pleroma.envs.net,akkoma,3.13.2-0-g050bc74,245,52,88,30260
freespeech.group,akkoma,3.13.1-0-gc02e343,202,6,7,36309
eepy.express,akkoma,3.13.2-0-g050bc74,190,130,148,20165
mycrowd.ca,akkoma,3.13.2,141,22,69,5538
labyrinth.zone,akkoma,3.12.2,137,103,134,91438
headpat.cafe,akkoma,3.10.4-0-g0af8e93,130,23,38,756
lesbi.in,akkoma,3.13.2,119,7,11,13354
seafoam.space,akkoma,3.12.2-0-g26a91d5,115,27,33,26258
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,113,6,13,118559
akko.wtf,akkoma,3.13.2-607-gb9e7b100-akko-wtf,112,57,78,160010
donotsta.re,akkoma,3.13.2-0-g050bc74,100,41,54,20296
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,99,11,16,65966
