domain,apli,version,users,am,ahy,posts ,
neurodifferent.me,mastodon,4.1.7,1043 ,326 ,615 ,182715 ,
fairdinkum.one,mastodon,4.2.0,8 ,5 ,9 ,1365 ,
eveningzoo.club,pleroma,2.4.53-7-g0d08f049.develop+soapbox,148 ,23 ,49 ,81620 ,
animal-crossing.mastportal.info,mastodon,4.2.0,260 ,31 ,51 ,120123 ,
allthingstech.social,mastodon,4.2.0,252 ,98 ,288 ,24904 ,
obufalus.jp,mastodon,4.2.0,121 ,89 ,119 ,26193 ,
social.nohto.net,misskey,13.14.2,4 ,null,null,237 ,
mstdn.love,mastodon,4.1.6,337 ,70 ,152 ,500207 ,
mofu.kemo.no,mastodon,4.2.0,183 ,32 ,55 ,13203 ,
mstdn.sagami-yashiro.net,mastodon,4.2.0,2 ,1 ,2 ,566 ,
wien.rocks,mastodon,4.2.0-stable+ff3,4264 ,1004 ,1985 ,182692 ,
mastodon.sandwich.net,mastodon,4.2.0,482 ,53 ,79 ,61521 ,
mstdn-bike.net,mastodon,4.2.0,644 ,155 ,277 ,774329 ,
discuss.systems,mastodon,4.2.0,2956 ,584 ,1195 ,92040 ,
geeknews.chat,mastodon,4.2.0,47 ,8 ,11 ,11934 ,
mi.7mi.site,misskey,2023.10.0-beta.2,59 ,null,null,5784 ,
wikis.world,mastodon,4.2.0,150 ,95 ,135 ,22819 ,
miss.kabeuchi.monster,misskey,2023.9.3,5 ,null,null,403 ,
oc.todon.fr,mastodon,3.5.14,2794 ,199 ,351 ,160417 ,
takoverse.syutin.com,mastodon,4.2.0,4 ,4 ,4 ,1798 ,
slime.global,hometown,4.0.6+hometown-1.1.1,81 ,29 ,39 ,574401 ,
simcha.lgbt,mastodon,4.2.0+glitch,33 ,41 ,53 ,27554 ,
a11y.info,mastodon,4.2.0,124 ,37 ,48 ,10157 ,
misskey.de,misskey,2023.9.3,419 ,null,null,23361 ,
friendsyu.me,misskey,10.103.0.3-ypf,452 ,18 ,68 ,34125 ,
firefish.katniss.top,firefish,1.0.4-beta,3 ,1 ,1 ,0 ,
social.kazehiko.com,mastodon,4.2.0,1 ,1 ,1 ,1451 ,
dimension.host,mastodon,4.2.0+dimension,5 ,4 ,4 ,14566 ,
paquita.masto.host,mastodon,4.2.0,1948 ,730 ,1177 ,311394 ,
this.mouse.rocks,mastodon,4.2.0,51 ,17 ,25 ,227831 ,
fediscience.org,mastodon,4.1.9,5235 ,1950 ,3136 ,365304 ,
mastodon.sdf.org,mastodon,4.1.9,72780 ,3633 ,3633 ,1597015 ,
techhub.social,mastodon,4.2.0,78686 ,10624 ,27126 ,1114152 ,
quakers.social,mastodon,4.1.4,118 ,28 ,62 ,3570 ,
agora.ilot.io,mastodon,4.1.8,6 ,4 ,7 ,207 ,
mustard.blog,mastodon,4.2.0,1800 ,362 ,982 ,77588 ,
borahae.love,mastodon,4.2.0+glitch,151 ,18 ,38 ,5003 ,
ursal.zone,mastodon,4.2.0,2796 ,582 ,1213 ,345897 ,
iconfactory.world,mastodon,4.1.4,4 ,2 ,3 ,517 ,
birds.town,mastodon,4.2.0,556 ,93 ,208 ,30766 ,
misskey.art,misskey,13.14.2-art+1.0,4680 ,null,null,1216916 ,
mastodon.acm.org,mastodon,4.2.0,867 ,271 ,480 ,14488 ,
her-mann.de,mastodon,4.1.2,1 ,1 ,1 ,114 ,
handon.club,mastodon,4.1.9,328 ,160 ,169 ,3751502 ,
mamut.social,mastodon,4.1.1,15 ,10 ,19 ,2285 ,
gearheads.social,mastodon,4.1.6-gh23240,770 ,244 ,649 ,13125 ,
paseo.casacamelia.xyz,misskey,2023.9.1,2 ,null,null,6380 ,
fedi.afra.berlin,iceshrimp,1.0.2,10 ,7 ,7 ,2000 ,
soc.nochn.net,mastodon,4.1.4,3 ,2 ,2 ,2564 ,
mastodon.nl,mastodon,4.1.8,40059 ,7311 ,17331 ,1374728 ,
river.group.lt,mastodon,4.2.0,80 ,42 ,62 ,10823 ,
a2mi.social,mastodon,4.1.9,411 ,155 ,235 ,174208 ,
barca.dix.asia,mastodon,4.2.0,33 ,27 ,34 ,60029 ,
htt.social,mastodon,4.2.0,2 ,2 ,2 ,1012 ,
headpat.cafe,akkoma,3.10.4-0-g0af8e93,74 ,34 ,58 ,652 ,
urbanists.social,mastodon,4.2.0,6152 ,1217 ,2475 ,268253 ,
mastodon.nexusuk.org,mastodon,4.2.0,2 ,2 ,2 ,1397 ,
social.finkhaeuser.de,mastodon,4.2.0,3 ,1 ,3 ,7850 ,
don.naru.cafe,mastodon,4.2.0,8 ,4 ,4 ,55210 ,
zirk.us,mastodon,4.2.0,5458 ,1390 ,2796 ,599431 ,
mastodon.moule.world,mastodon,4.2.0,32 ,32 ,33 ,4141 ,
arsenalfc.social,mastodon,4.1.6,1653 ,156 ,471 ,28438 ,
verkehrswende.social,mastodon,4.2.0,135 ,78 ,107 ,11304 ,
mi.growthers.dev,misskey,13.14.2,23 ,null,null,3345 ,
dev.fedicity.net,mastodon,4.2.6-beta2,1 ,1 ,1 ,19 ,
pleromashit.nexus,pleroma,2.5.5-30-gf966abe4,5 ,4 ,5 ,351 ,
mendeddrum.org,mastodon,4.2.0,240 ,135 ,135 ,82023 ,
witches.live,mastodon,3.0.1,4343 ,1636 ,6131 ,600369 ,
mdn.hinaloe.net,mastodon,3.5.14-86db5d350,34 ,1 ,1 ,18341 ,
mstdn.osaka,mastodon,4.1.4,1863 ,65 ,119 ,1881042 ,
masto.astrra.space,mastodon,4.1.6,29 ,9 ,12 ,2519 ,
ak.kawen.space,akkoma,3.10.3-0-g98f0820-develop,36 ,24 ,30 ,46832 ,
annex.coffee-break.cc,firefish,1.0.4-beta31,68 ,51 ,66 ,4011 ,
social.proximitysculptor.com,mastodon,4.2.0-rc2+glitch,2 ,1 ,1 ,594 ,
astronomy.social,mastodon,4.1.8,20 ,7 ,10 ,9179 ,
mi.nyaa.app,misskey,2023.9.1-nyaaapp.1,4 ,null,null,445 ,
eigadon.net,mastodon,3.1.4,1293 ,372 ,1368 ,26147 ,
m.nagoya832.net,mastodon,4.2.0,3 ,3 ,4 ,337 ,
social.kyiv.dcomm.net.ua,mastodon,4.2.0,1157 ,242 ,545 ,82658 ,
niscii.xyz,misskey,2023.9.1,14 ,null,null,54530 ,
tooot.im,mastodon,4.2.0,3343 ,701 ,1563 ,511843 ,
ard.social,mastodon,4.1.9,9 ,8 ,9 ,10211 ,
pari.cafe,misskey,2023.9.3,295 ,null,null,11841 ,
doyle.boston,mastodon,4.2.0,1 ,1 ,1 ,1933 ,
mastodon.brendans-bits.com,mastodon,4.1.9,1 ,1 ,1 ,10 ,
haunted.computer,mastodon,4.2.0+glitch,44 ,34 ,40 ,10203 ,
bcn.fedi.cat,akkoma,3.8.0-0-gccae7ef,6 ,5 ,6 ,1143 ,
mk.yopo.work,misskey,13.6.1,549 ,null,null,328335 ,
mstdn.asterism.xyz,mastodon,4.2.0-plusminus.1,2 ,2 ,2 ,238640 ,
mk.u0conveni.club,misskey,13.13.2,10 ,null,null,12567 ,
goettingen.social,mastodon,4.2.0,7 ,5 ,5 ,246 ,
m.tkw.fm,mastodon,3.5.12,3 ,2 ,2 ,48452 ,
social.brucknerite.net,mastodon,4.2.0,1 ,1 ,1 ,481 ,
social.pseudo-whiskey.bar,misskey,13.14.2,4 ,null,null,141489 ,
warhammer.social,mastodon,4.2.0,963 ,231 ,483 ,49555 ,
mstdn.kapteinis.lv,mastodon,4.2.0,4 ,3 ,4 ,2972 ,
piggo.space,pleroma,2.5.1,20 ,5 ,6 ,75516 ,
jasette.facil.services,mastodon,4.2.0,724 ,188 ,363 ,43901 ,
amefur.asia,mastodon,4.1.5,1 ,1 ,1 ,189783 ,
lesbian.energy,misskey,12.119.0,2821 ,49 ,150 ,658113 ,
zy.gy,akkoma,3.7.1-yf,7 ,null,null,3168 ,
misskey.ytom.myds.me,misskey,2023.9.3,5 ,null,null,906 ,
misskey.omhnc.net,misskey,13.14.2,8 ,null,null,184885 ,
mi.magamogreen.net,misskey,13.13.2,4 ,null,null,26 ,
reima.rocks,mastodon,4.2.0,1 ,1 ,1 ,1668 ,
cktn.todon.de,mastodon,4.2.0,4 ,4 ,4 ,7177 ,
photodn.net,mastodon,4.2.0,1946 ,148 ,306 ,137287 ,
don.kenmo.fm,mastodon,4.2.0,12 ,9 ,9 ,3178 ,
pkm.social,mastodon,4.2.0,1258 ,316 ,682 ,31125 ,
social.vasilis.nl,mastodon,4.2.0,7 ,7 ,7 ,15350 ,
radfae.social,mastodon,4.2.0,17 ,5 ,10 ,463 ,
real-escape.jp,mastodon,4.2.0,31 ,2 ,2 ,11914 ,
nerdcore.social,akkoma,3.10.3,5 ,1 ,1 ,9 ,
mastodon.aguiarvieira.pt,mastodon,4.2.0-rc2,9 ,6 ,12 ,33584 ,
super-gay.co,mastodon,4.2.0,148 ,81 ,149 ,20216 ,
warpday.net,misskey,13.14.2,415 ,null,null,155564 ,
masto.es,mastodon,4.2.0,23787 ,3225 ,10860 ,392562 ,
krigskunst.social,mastodon,4.2.0,79 ,28 ,57 ,10295 ,
swiss-talk.net,mastodon,4.2.0,744 ,252 ,389 ,64783 ,
norrebro.space,mastodon,4.1.4,225 ,69 ,139 ,32913 ,
1210.nl,mastodon,4.2.0,12 ,2 ,6 ,1046 ,
iyasaretai.pw,mastodon,4.2.0,42 ,26 ,35 ,167566 ,
