domain,application,version,accounts,MAU,HYAU,posts
fedi.alemi.dev,??pub,0.7.3,2,1,1,791
llun.dev,activities.next,1.17.3,2,3,3,3474
llun.social,activities.next,1.19.0,2,3,3,3477
www.llun.me,activities.next,1.19.0,2,3,3,3477
activity.xsrv.win,activity.xsrv.win,1,1,null,null,1
activitypub.phronetic-ai.in,activitypub-agent-server,1.0.0,35,null,null,1955
relay.gamelinks007.net,activity-pub-relay,0.8.0,1,null,null,0
relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
tasty-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
mofu-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
ap.ngs.io,activitypub-server,1.0.0,1,1,1,2
relay.fedi.agency,activityrelay, 0.3.5,1,0,0,0
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
relay.c.im,activityrelay, 0.3.2,1,0,0,0
relay.an.exchange,activityrelay, 0.3.5,1,0,0,0
relay.froth.zone,activityrelay, 0.3.5,1,0,0,0
en.relay.friendi.ca,activityrelay, 0.3.5 f11d57580f2c18517d646407e6e30990ad419c8f,1,0,0,0
relay.girino.org,activityrelay, 0.3.5,1,0,0,0
relay.uggs.io,activityrelay, 0.3.5,1,0,0,0
relay.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.shc.kanagawa.jp,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
aprelay.real-ity.com,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.mp-development.de,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.darmstadt.social,activityrelay, 0.2.2,1,null,null,0
relay.1d4.us,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.social.net.ua,activityrelay, 0.2.4 df231e3b51523047267453ba6500263c4cb24503,1,0,0,0
relay-nb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-pe.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ns.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-nl.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.todon.eu,activityrelay, 0.3.5,1,0,0,0
relay.mastodon.ml,activityrelay, 0.3.5,1,0,0,0
relay.better.boston,activityrelay, 0.2.0 ???,1,null,null,0
pubrelay.moegirl.live,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
relay.21314.de,activityrelay, 0.3.5,1,0,0,0
relay.witter.cz,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.adtension.com,activityrelay, 0.2.4,1,0,0,0
relay.lazylabs.co,activityrelay, 0.2.4 bbdc151ed301c9de82d18fecd8af4ba0061b635f,1,0,0,0
relay.joelle.us,activityrelay, 0.2.2,1,null,null,0
relay.skinheads.social,activityrelay, 0.3.5,1,0,0,0
relay-bc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ap.nobigtech.es,activityrelay, 0.1 80a8c9b391a6332b535ea3d2151d2f1516aa5059,1,null,null,0
relay.b0x.social,activityrelay, 0.2.3,1,null,null,0
relay.krems.social,activityrelay, 0.2.3,1,null,null,0
relay-on.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-qc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-mb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ab.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-sk.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
c9e664de3c4640278b5024636d29d8e3.gothloli.club,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
relay.tools.c30.life,activity-relay,0.1.0-cpp,36,36,36,0
anagora.org,Agora of Flancia,0.1.0,133,10,29,46737
ahoukuse.me,ahodon,0.1.0,2,null,null,2907
fe.disroot.org,akkoma,3.18.1-0-g792385f--stable-,4162,434,926,76922
blob.cat,akkoma,3.13.2-0-gcccd7450e-blob,1970,84,153,690558
cache.blob.cat,akkoma,3.13.2-0-gcccd7450e-blob,1970,80,152,690859
fedi.absturztau.be,akkoma,3.19.0-340-g1b4016c7-develop,1392,72,129,977030
genserver.social,akkoma,3.18.1-0-g792385f--stable-,1058,45,78,9718
outerheaven.club,akkoma,3.15.1-0-g7eec493,916,90,131,613552
miraiverse.xyz,akkoma,3.18.1-0-g792385f--stable-,804,52,98,63454
rebelbase.site,akkoma,3.16.0-0-g6d88834,343,22,30,28586
pleroma.envs.net,akkoma,3.19.0-0-g4ceb81a--stable-,338,48,86,66852
nixnet.social,akkoma,3.13.2-0-g050bc74,320,16,28,30834
media.nixnet.social,akkoma,3.13.2-0-g050bc74,320,16,28,30835
brain.worm.pink,akkoma,3.15.2,253,66,113,155316
soc.punktrash.club,akkoma,3.18.1,235,23,35,75676
labyrinth.zone,akkoma,3.16.0,223,71,101,313808
donotsta.re,akkoma,3.19.0-0-g4ceb81a--stable-,216,82,114,193145
b.donotsta.re,akkoma,3.19.0-0-g4ceb81a--stable-,216,82,114,193423
a.donotsta.re,akkoma,3.19.0-0-g4ceb81a--stable-,216,82,114,193423
ak.vern.cc,akkoma,3.19.0,204,13,17,70456
infosec.place,akkoma,3.18.1,164,17,36,5120
void.lgbt,akkoma,3.19.0-0-g4ceb81a--stable-,156,69,96,115414
bdx.town,akkoma,3.16.0-0-g071bb07,125,23,55,29217
akko.wtf,akkoma,3.19.0-1499-g2a713117-akko-wtf,124,40,59,262030
pleasetf.me,akkoma,3.17.0+0-g5476ea44,121,66,97,28082
media.pleasetf.me,akkoma,3.17.0+0-g5476ea44,121,66,97,28084
cooltrans.men,akkoma,3.15.2,119,12,24,23374
social.translunar.academy,akkoma,3.18.1-0-g792385f--stable-,115,48,78,220432
channel.coolstation.space,akkoma,3.13.2-3-gdc2f0d3b-wl-stable,112,72,120,26898
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,100,5,9,87694
headpat.cafe,akkoma,3.15.1-0-g7eec493,96,12,22,1242
kowelenz.social,akkoma,3.18.1-0-g792385f--stable-,89,7,10,12520
migration.kowelenz.social,akkoma,3.18.1-0-g792385f--stable-,89,7,10,12527
media.kowelenz.social,akkoma,3.18.1-0-g792385f--stable-,89,7,10,12527
posting.isincredibly.gay,akkoma,3.15.2+wl1,88,19,26,10035
social.kernel.org,akkoma,3.16.0,87,41,57,15565
froth.zone,akkoma,3.18.1-3370-gec2f06ea-froth-zone,76,7,9,143397
synthpals.social,akkoma,3.13.2,74,38,67,2856
ihatebeinga.live,akkoma,3.19.0-350-g80bc30b5-develop,70,12,13,289688
fedi.tesaguri.club,akkoma,3.15.2,68,6,14,23807
foxy.social,akkoma,3.13.2,67,3,7,283
radbloxia.online,akkoma,3.18.1-0-g792385f--stable-,64,66,66,20433
gosuslugi.social,akkoma,3.8.0,63,4,7,315
weague.awful.cloud,akkoma,3.15.2-wl-stable+wl1,55,22,33,5148
lebensraum.slavery.trade,akkoma,3.10.2,55,41,44,2037
pinksheep.org,akkoma,3.17.0-0-g06589d9--stable-,54,1,3,1283
ak.kawen.space,akkoma,3.18.1-0-g07e2455--develop-,52,20,22,92407
suya.place,akkoma,3.18.1-1163-g064f563c-suyaplace,49,20,28,74008
rail.siberia.work,akkoma,3.15.2-0-ge924294a2,49,26,37,24831
fedi.catto.garden,akkoma,3.18.1,48,15,27,22682
akkoma.noellabo.jp,akkoma,3.15.2-0-g5bceb1d,46,8,23,770
uchu-teien.com,akkoma,3.18.1,45,8,10,22235
crimew.gay,akkoma,3.15.2-945-g5beb286b-develop,44,5,14,63958
kitty.haus,akkoma,3.18.1-321-g18043375-develop,44,4,7,23402
corteximplant.net,akkoma,3.18.0-0-g12bccbb--stable-,41,31,46,18743
social.duniter.org,akkoma,3.13.2-0-g050bc74,40,17,29,218
woem.space,akkoma,3.15.2,39,16,21,205296
nuages.cloud,akkoma,3.17.0-0-g06589d9--stable-,39,25,40,319
