domain,application,version,accounts,MAU,HYAU,posts
fedi.alemi.dev,??pub,0.7.3,2,1,1,782
s6jr.com,activipypub, 1.0.0,1,null,null,null
llun.dev,activities.next,0.1.7,1,126,288,150
www.llun.me,activities.next,0.1.7,1,126,288,150
activity.xsrv.win,activity.xsrv.win,1,1,null,null,1
armoise.co,activitypods,null,631,631,null,null
mypod.store,activitypods,null,25,25,null,null
pds-sp.whey.party,activitypods,null,4,4,null,null
activitypub.phronetic-ai.in,activitypub-agent-server,1.0.0,28,null,null,657
observatory.cyber.harvard.edu,activitypub-data-observatory,0.1.0,1,1,1,null
hakatashi.com,activitypub-firebase,1.0.0,1,null,null,null
activitypub-dev.hakatashi.com,activitypub-firebase,1.0.0,1,null,null,null
relay.gamelinks007.net,activity-pub-relay,0.8.0,1,null,null,0
mofu-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
tasty-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
ap.ngs.io,activitypub-server,1.0.0,1,1,1,2
relay.fedi.agency,activityrelay, 0.3.5,1,0,0,0
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
relay.c.im,activityrelay, 0.3.2,1,0,0,0
relay.social.net.ua,activityrelay, 0.2.4 df231e3b51523047267453ba6500263c4cb24503,1,0,0,0
en.relay.friendi.ca,activityrelay, 0.3.5 f11d57580f2c18517d646407e6e30990ad419c8f,1,0,0,0
relay.froth.zone,activityrelay, 0.3.5,1,0,0,0
relay.an.exchange,activityrelay, 0.3.5,1,0,0,0
relay.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.shc.kanagawa.jp,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.joelle.us,activityrelay, 0.2.2,1,null,null,0
relay.witter.cz,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.kretschmann.social,activityrelay, 0.2.4 15b1324df280c87f6496da07cab056f7d2809360,1,0,0,0
pubrelay.moegirl.live,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
relay.girino.org,activityrelay, 0.3.5,1,0,0,0
relay-ns.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.uggs.io,activityrelay, 0.3.5,1,0,0,0
relay.better.boston,activityrelay, 0.2.0 ???,1,null,null,0
aprelay.real-ity.com,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay-tw.seediqbale.xyz,activityrelay, 0.3.5,1,0,0,0
