domain,application,version,users,MAU,HYAC,posts
syringa.social,mastodon,4.2.0,121,36,66,15926
gamerr.cyou,mastodon,3.5.12,121,24,37,14867
social.taker.fr,mastodon,4.2.1,120,12,17,12027
saptodon.org,mastodon,4.2.1,120,41,69,1706
obufalus.jp,mastodon,4.2.1,119,82,122,31365
kitty.town,mastodon,4.2.1,119,26,35,122807
maratang.life,mastodon,4.3.0-alpha.0+glitch,119,26,64,2817
ibite.lol,mastodon,4.2.1,119,21,63,2149
shadowverdon.info,mastodon,3.5.3,119,15,25,107902
bonequest.net,mastodon,4.2.0,119,28,45,7711
mentalhealth.social,mastodon,4.2.1,118,15,27,5624
uddannelse.social,mastodon,4.2.0,118,24,37,5960
lbry.world,mastodon,4.1.4,118,4,12,3945
don.blognot.co,mastodon,4.2.0,118,19,39,593
lajna.si,mastodon,4.2.1,118,28,69,2061
systemli.social,mastodon,4.2.1,117,88,102,13643
d-64.social,mastodon,4.2.1,117,70,87,13964
iu.social,mastodon,4.1.4,117,6,46,68
swiss-chaos.social,mastodon,4.2.1,117,20,66,1960
mastodon.stuttgart.international,mastodon,4.0.11,117,44,85,3873
eggplant.social,mastodon,4.1.4,117,32,74,2183
high.cat,mastodon,4.3.0-alpha.0+glitch,116,14,18,22885
social.ataxya.net,mastodon,4.1.4,115,24,55,11384
mstdn.hostdon.jp,mastodon,4.2.1,114,8,24,855
alaskan.social,mastodon,4.2.1,114,72,118,19030
solarpunk.moe,mastodon,4.2.0-rc2+glitch,114,65,98,135875
bytetower.social,mastodon,4.2.1,114,27,40,9483
livers.jp,mastodon,4.2.1,114,3,4,2881
verified.mastodonmedia.xyz,mastodon,4.2.0,113,5,14,3356
pdx.sh,mastodon,4.2.0,113,27,59,2968
tchafia.be,mastodon,4.2.0,113,40,79,4503
clube.social,mastodon,4.2.1,113,16,27,1363
nbaden.club,mastodon,3.5.3,113,4,12,161
gamemaking.social,mastodon,4.2.1,113,21,38,24496
topspicy.social,mastodon,4.2.1,112,68,88,72186
berserker.town,mastodon,4.3.0-alpha.0+glitch,112,47,90,66741
chillout.chat,mastodon,3.5.10+chillout.1,111,27,46,103061
inari.opencocon.org,mastodon,4.1.4,111,6,6,27256
august-don.site,mastodon,4.2.1,111,7,15,1064
mastodon.wellperns.com,mastodon,4.1.7,111,33,50,7891
tiggi.es,mastodon,4.2.1,111,67,93,63671
crosstalk.tech,mastodon,4.2.0,111,28,52,4356
red.fox.yt,mastodon,4.2.1,111,0,0,7600
mastodon.underworld.fr,mastodon,4.2.0,111,19,36,7999
fluffs.au,mastodon,4.1.9,111,32,72,7747
tty0.social,mastodon,4.1.3,110,39,65,9333
toots.nu,mastodon,4.0.2,110,54,283,4892
notacult.social,mastodon,4.2.0,110,30,53,23426
autistics.life,mastodon,4.2.1,110,66,96,36088
die-partei.social,mastodon,4.2.1,109,54,68,123852
religion.masto.host,mastodon,4.2.1,109,22,51,4714
uwu.town,mastodon,4.0.6,109,0,3,1427
3dp.chat,mastodon,4.2.1,108,26,57,6674
mastodon.ph,mastodon,4.2.1,108,21,75,2038
social.bim.land,mastodon,4.2.0,108,25,36,12751
natter.wtf,mastodon,4.2.1,108,30,48,542078
urtier.corvi.schule,mastodon,4.1.2,108,7,22,208
klog.tw,mastodon,4.2.1~klog,107,59,116,15177
pr0mised.life,mastodon,3.1.3,107,42,55,21907
open3dlab.social,mastodon,4.2.1,106,39,108,859
mstdn.sublimer.me,mastodon,4.2.1,106,29,71,84104
verified.coop,mastodon,4.0.2,106,11,50,676
whitelakeisland.hostdon.ne.jp,mastodon,4.2.1,106,1,63,287
ondergrond.org,mastodon,3.5.10,105,14,20,59421
comics.town,mastodon,4.2.1,105,25,44,11303
pedo.school,mastodon,4.2.0+glitch+freaku,105,6,11,8162
lust4love.eu.org,mastodon,3.5.3,105,41,94,4033
mistodon.cloud,mastodon,4.2.1,104,55,78,295149
mstdn.res.ac,mastodon,4.2.0,104,8,22,123710
mastodon.chotto.moe,mastodon,4.2.0-rc2,104,5,12,697531
unfufadoo.net,mastodon,4.3.0-alpha.0+glitch,104,86,101,33013
cosmedn.net,mastodon,4.2.0,104,33,81,2044
autonomous.zone,mastodon,4.2.1,104,43,74,13959
mcyt.cc,mastodon,4.2.0+glitch,104,14,63,1044
mstdn-jp.site,mastodon,4.2.2,103,8,9,27430
pfalz.social,mastodon,4.2.1,103,47,67,28590
fashionsocial.host,mastodon,4.2.1,103,15,32,15038
f.cz,mastodon,4.2.0,103,41,73,7676
nfdi.social,mastodon,4.1.10,103,57,78,2959
mastodon.mg,mastodon,4.1.8,103,14,25,7204
graeber.social,mastodon,4.2.1,103,35,68,3733
mstdn.hokkaido.jp,mastodon,4.1.0,102,31,59,55750
toot.krinetzki.de,mastodon,4.2.0,102,6,9,18816
blooming-land.icu,mastodon,3.5.5,102,51,75,31774
bertha.social,mastodon,4.2.1,102,41,76,16913
douban.city,mastodon,4.2.1+~alphatown,102,27,43,10431
socialclub.nyc,mastodon,4.2.1,102,11,20,3705
mastodon.scop.coop,mastodon,4.2.1,102,22,43,714
avgeek.social,mastodon,4.2.1,101,28,50,4387
pao.moe,mastodon,4.2.1,101,5,8,31005
elonsucks.org,mastodon,4.1.5,101,17,64,7960
social.masto.host,mastodon,4.2.1,101,7,9,39965
du.capricom.info,mastodon,4.2.1,101,15,23,4046
teal.social,mastodon,4.2.1,101,52,81,5115
fediphilosophy.org,mastodon,4.1.4,100,36,66,8277
astral.camp,mastodon,4.2.1,100,40,69,7226
itabashi.0j0.jp,mastodon,3.1.4,100,31,229,142985
m.quaoar.xyz,mastodon,3.5.3~hello,100,41,69,15261
gervtuber.de,mastodon,4.1.4,100,15,49,3109
muso.social,mastodon,4.1.4,100,10,39,843
sportsfeed.me,mastodon,4.2.0,99,58,73,157543
fribygda.no,mastodon,4.2.1,99,51,84,37245
aipub.social,mastodon,4.1.2,99,29,99,4752
magpie-1.explainablereasoning.net,mastodon,4.0.2,99,2,276,1694
wank.social,mastodon,4.2.1,99,67,108,4848
xeri.irex.aretex.ca,mastodon,3.3.0,99,8,27,395
weatherishappening.network,mastodon,4.1.4,98,23,44,64892
narikiri.hostdon.ne.jp,mastodon,4.2.1,98,31,95,7600
masto.hitorino.tv,mastodon,4.2.1,98,9,22,375
waha.work,mastodon,4.1.5,97,33,73,726992
mastodon.fedi.bzh,mastodon,4.2.0,97,36,57,17702
xantronix.social,mastodon,4.2.1,97,39,75,6866
rhabarberbarbara.bar,mastodon,3.5.6,97,41,53,100325
mastodon.irex.aretex.ca,mastodon,3.3.0,97,6,25,392
thelife.boats,mastodon,4.1.4,96,19,45,6069
aachen.social,mastodon,4.2.1,96,29,53,6586
xno.social,mastodon,4.1.4,96,25,101,700
wptoots.social,mastodon,4.2.0,95,32,62,10009
press.coop,mastodon,4.0.2,95,1,1,25744
eliitin-some.fi,mastodon,4.2.1,95,70,86,138599
subculture.chat,mastodon,4.1.0,95,15,37,1786
insoumis.social,mastodon,4.2.0,95,5,18,4738
zenzone.social,mastodon,4.2.1,95,21,92,377
burningboard.net,mastodon,4.2.1,94,38,87,5558
md.ilyamikcoder.com,mastodon,4.3.0-alpha.0+chuckya,94,21,21,37444
mastodon.babb.no,mastodon,4.2.1,94,19,78,5284
msdyn365bc.social,mastodon,4.2.1,94,24,46,593
penguicon.social,mastodon,3.5.1,94,22,33,6739
kursors.social,mastodon,4.1.5,94,12,31,1599
social.apreslanu.it,mastodon,4.2.1,93,8,11,13417
fedisabled.social,mastodon,4.2.1,93,31,31,37095
camp.smolnet.org,mastodon,4.2.1,93,36,50,30833
m6n.io,mastodon,4.2.1,93,16,25,9874
mastodon.boston,mastodon,4.1.9,93,18,58,8228
squabble.org,mastodon,4.1.5,93,14,39,1469
social.y-gallery.net,mastodon,4.1.6,93,17,48,533
vacatureforum.nl,mastodon,4.2.1,93,82,89,1574
links.potsda.mn,mastodon,4.1.10,92,35,46,8727
transportation.social,mastodon,3.5.3,92,22,62,6841
swingset.social,mastodon,4.2.1,92,19,33,15900
mastodon1.artsrn.ualberta.ca,mastodon,3.3.0,92,5,12,487
surus.keepcoding.io,mastodon,4.2.1,92,58,91,84
mastodon.mx,mastodon,4.2.1,92,23,55,1314
frontrange.co,mastodon,4.2.1,91,33,69,44357
supernatural.fans,mastodon,4.2.1,91,20,55,15094
mastodon.medica.im,mastodon,4.1.10,91,21,47,2496
nightcord.de,mastodon,4.2.1,91,29,70,7830
tweetrex.co.uk,mastodon,3.3.0,91,8,35,1592
b612.me,mastodon,4.3.0-alpha.0+~b612+glitch,91,32,45,70102
0x3c.pl,mastodon,4.0.2,91,14,23,2303
social.moment.at,mastodon,4.2.1,91,19,53,1025
homeless.group,mastodon,3.0.1,91,3,145,208
b612.icu,mastodon,4.3.0-alpha.0+~b612+glitch,91,32,45,70192
pgh.social,mastodon,4.2.0,90,34,53,8824
nutmeg.social,mastodon,4.1.4,90,25,55,29668
airpollution.science,mastodon,4.2.0,90,14,21,1565
social.kharkiv.dcomm.net.ua,mastodon,4.1.10,90,23,43,6018
furries.init.engineer,mastodon,4.2.0,90,13,31,841
theexpan.se,mastodon,4.2.1,90,8,91,722
netzkms.de,mastodon,4.0.12,89,33,62,9561
drizzle-damp.net,mastodon,4.2.1,89,65,79,315560
squawk.social,mastodon,4.2.0,89,47,80,20242
syndicat.solidaires.org,mastodon,4.1.4,89,40,55,12253
trekkies.social,mastodon,4.2.1,89,25,46,9050
404.inexist.club,mastodon,4.1.0,89,22,38,22701
learnlinux.social,mastodon,4.1.6,89,13,44,274
eattherich.club,mastodon,4.2.6,88,33,44,13108
girldick.gay,mastodon,4.1.4+glitch+cat+1.0.0+nya-1.2.2,88,36,72,23923
meow.lgbt,mastodon,4.1.4+glitch+cat+1.0.0,88,36,67,4911
okapi.website,mastodon,3.1.3,88,397,2120,493
gorone.xyz,mastodon,4.2.1,87,38,55,412891
mastodon.frl,mastodon,4.1.7,87,24,63,5309
tu.social,mastodon,4.2.1,87,30,73,1597
ellis.social,mastodon,4.1.5,87,24,40,1200
roleplayers.bub.org,mastodon,4.2.0,87,6,12,24076
recsys.social,mastodon,4.2.1,87,15,30,8743
apotheke.social,mastodon,4.1.10,87,18,70,24237
wokka.be,mastodon,4.2.1,87,10,17,7315
samenet.social,mastodon,4.1.0,87,22,69,10209
home.speakfree.social,mastodon,4.1.2,87,26,90,202
torguard.social,mastodon,4.1.2,87,25,90,202
growers.social,mastodon,4.2.1,86,23,82,3947
liberal.lgbt,mastodon,4.2.1,86,7,20,5544
mastodon.earth,mastodon,4.2.1,86,13,18,5073
upload.fedithese.net,mastodon,4.1.6,86,2,15,845
iaccessibility.social,mastodon,4.2.1,86,38,50,10755
ayom.media,mastodon,4.1.4,85,40,63,18380
toot.shoes,mastodon,4.2.1,85,4,11,353
appellate.social,mastodon,4.2.1,85,17,27,1650
blacksun.social,mastodon,4.1.4,85,10,27,14395
mstdn.hokkaidosm.net,mastodon,4.1.4,85,73,84,274547
kamu.social,mastodon,4.2.1,84,31,56,13398
mastodon.roitsystems.ca,mastodon,4.0.2,84,12,51,201813
don.linxx.net,mastodon,4.2.1,84,43,52,31995
superpets.social,mastodon,4.2.1,84,23,41,3133
krigskunst.social,mastodon,4.2.1,84,30,61,10668
a11y.social,mastodon,4.1.4,84,24,36,1857
modalnode.club,mastodon,3.5.3,84,0,53,694
opensimsocial.com,mastodon,4.1.0,84,24,61,1583
handmade.social,mastodon,4.2.1,83,36,56,3528
krpgpub.net,mastodon,4.1.4+glitch,83,33,71,17738
blobfox.coffee,mastodon,4.3.0-alpha.0+glitch,83,43,64,18763
waag.social,mastodon,4.2.1,83,24,37,11152
mastodon.thirring.org,mastodon,4.2.1,83,47,64,52847
rheinhessen.social,mastodon,4.2.1,83,44,82,17072
libraryland.social,mastodon,4.0.2,83,19,37,1563
social.mindplex.ai,mastodon,4.1.1,83,13,51,362
social.tulsa.ok.us,mastodon,4.2.1,82,17,44,44563
mastodon.motcha.tech,mastodon,4.2.1,82,8,11,282495
voi.social,mastodon,4.2.0,82,16,34,4816
maho.app,mastodon,4.1.3,82,41,46,1204549
retrochat.online,mastodon,4.2.1,82,32,55,14590
noods.fun,mastodon,4.2.0,82,28,67,7572
ailbhean.co-shaoghal.net,mastodon,4.2.1,82,22,74,7244
imd.social,mastodon,4.2.1,82,7,16,16279
xn--j5r817a.com,mastodon,4.2.1,82,25,71,2341
crypto-don.net,mastodon,3.4.6,82,6,7,119987
laserdisc.party,mastodon,4.2.1,81,27,37,249908
higheredweb.social,mastodon,4.2.1,81,15,33,3447
sandiegourbanists.com,mastodon,4.1.4,81,15,15,2186
masto.bcan.org,mastodon,4.2.1,81,53,80,79
restraint.social,mastodon,4.2.1,81,18,45,1375
social.therestartproject.org,mastodon,4.2.0,81,50,78,80
mstdn.starnix.network,mastodon,4.2.0+glitch,80,29,52,82150
recordplug.club,mastodon,4.2.1,80,6,20,920
speedrun.zone,mastodon,4.1.4+glitch,80,11,35,1039
mastodon.tn,mastodon,4.2.1,80,31,54,6350
grafana.social,mastodon,4.3.0-alpha.0+glitch,79,21,35,943
lipsia.casa,mastodon,4.2.0,79,24,54,8533
systerserver.town,mastodon,4.1.9,79,27,35,17083
river.group.lt,mastodon,4.2.1,79,35,62,14734
journodon.com,mastodon,4.2.1,79,12,19,573
soc.gsg.live,mastodon,4.1.4,79,26,42,10635
niedersachsen.social,mastodon,4.2.0,79,26,40,10985
screencastsonline.social,mastodon,4.2.1,79,32,49,704
bears.town,mastodon,4.3.0-alpha.0+glitch,79,39,64,13329
linke.social,mastodon,4.1.0,79,27,43,1492
squeak.social,mastodon,4.2.0,79,22,48,1027
mastodon.thefediverse.net,mastodon,3.1.3,79,1,40,562
pokemon.men,mastodon,4.1.3,78,4,13,109292
cutie.city,mastodon,4.1.3+glitch+cutiecity,78,58,87,83223
mastodon.ngo,mastodon,4.2.1,78,24,45,2275
mastodon.bofhers.es,mastodon,4.1.2,78,32,45,7425
kitsunet.net,mastodon,4.2.0+glitch,78,7,23,1644
gayfr.social,mastodon,4.2.1,77,46,75,26072
subversive.zone,mastodon,4.2.1,77,39,55,34810
ozhika.me,mastodon,4.2.1,77,8,18,14988
nashtodon.com,mastodon,4.2.1,77,25,48,1630
leipzig.town,mastodon,4.1.9,77,43,68,3999
the.voiceover.bar,mastodon,4.2.1,77,9,12,3869
worm.horse,mastodon,4.2.1,77,20,38,13894
classicalmusic.social,mastodon,4.2.1,77,17,34,3226
mstdn.penguinhub.org,mastodon,4.2.1,77,35,79,2429
c7.io,mastodon,4.2.1,77,30,43,3265
tinkertofu.com,mastodon,4.2.1,77,17,59,922
patesadon.com,mastodon,4.0.2,77,15,35,16421
gladtech.social,mastodon,4.2.0,76,25,75,8396
satanodon.com,mastodon,4.2.1,76,11,11,3968
kangaroo.to,mastodon,4.1.4,76,28,64,5895
hexadon.net,mastodon,4.1.4,76,49,56,1008389
sardegna.social,mastodon,4.0.2,76,11,22,1395
burnthis.town,mastodon,4.1.4,75,37,71,12598
mstdn.nijist.info,mastodon,4.1.5,75,46,86,3413
blueplanet.social,mastodon,4.2.1,75,33,67,6187
rap.social,mastodon,4.1.4,75,19,80,9174
futen.work,mastodon,4.2.1,75,31,56,125996
glitch.lgbt,mastodon,4.2.0,75,14,39,6233
energiewende.social,mastodon,4.2.1,75,36,49,3411
mastodon.no2nd.earth,mastodon,4.1.4,75,23,32,11091
groupsebelah.com,mastodon,4.2.0,75,4,9,220
mhz.social,mastodon,4.3.0-alpha.0+glitch,75,8,8,3028
computer-club.online,mastodon,4.2.1,75,24,44,1132
tum.social,mastodon,4.2.0,75,26,51,5383
wspanialy.eu,mastodon,4.2.1,74,50,83,10228
kuicker.koogle.sk,mastodon,4.2.1,74,3,3,91
hostsharing.coop,mastodon,4.1.10,73,32,35,24986
fem.social,mastodon,4.2.0,73,28,37,64378
social.furry.nz,mastodon,4.0.11,73,11,28,22275
savageworlds.social,mastodon,4.2.1,73,10,26,934
hobbymetzgerei.de,mastodon,4.0.2,73,4,12,105
eunomia-dev.consert.eee.uniwa.gr,mastodon,3.4.1,73,0,6,478
sdu.closed.social,mastodon,4.1.1+glitch,73,25,47,544
corneill.es,mastodon,4.3.0-alpha.0+glitch,72,43,63,15649
aircrew.rocks,mastodon,4.1.10,72,21,28,3479
vivere.uno,mastodon,4.2.1,72,32,38,69241
twitchfr.social,mastodon,4.0.2,72,14,31,964
mastodon-elestio-u1962.vm.elestio.app,mastodon,4.2.1,72,16,32,6261
social.sigsoft.org,mastodon,4.2.1,71,12,29,337
alpaca.gold,mastodon,4.2.1,71,13,30,6200
social.esmarconf.org,mastodon,4.2.1,71,8,20,3024
schach.social,mastodon,4.2.1,71,32,49,2090
groningen.social,mastodon,3.5.3,71,8,49,1444
sakamichi.fun,mastodon,4.1.9,71,19,53,13634
cheeseburger.social,mastodon,4.2.0+glitch,70,15,30,5563
metasocial.com,mastodon,4.2.0,70,26,38,12630
social.makerforums.info,mastodon,4.2.0+glitch,70,18,30,11666
fluffy.family,mastodon,4.2.1,70,28,46,28833
speedlines.stctp.zone,mastodon,4.3.0-alpha.0+glitch,70,39,55,16373
allpro.social,mastodon,4.2.1,70,32,40,80594
splat00n.ink,mastodon,4.3.0-alpha.0+glitch,70,26,45,15345
geekspot.com,mastodon,4.0.2,70,8,13,619
hpi.social,mastodon,4.1.10,70,17,37,143
comm.cx,mastodon,4.3.0-nightly.2023-11-12,69,5,13,13440
social.restless.systems,mastodon,4.1.4+glitch,69,33,49,14579
standup-comics.net,mastodon,4.2.1,69,9,19,2054
entrepreneurlibre.org,mastodon,4.2.1,69,1,6,162
mastodon-pa.sorbonne-universite.fr,mastodon,3.4.1,68,9,14,1465
yakumo.foundation,mastodon,4.3.0-alpha.0+glitch.1112_59893a4,68,26,37,438826
corgis.social,mastodon,4.1.2,68,9,17,1800
mastodon.akhepcat.com,mastodon,4.1.10,68,11,40,5017
erotica.social,mastodon,4.2.1,68,20,62,447
minions.social,mastodon,4.1.4,68,6,69,52
mastodon.pub.solar,mastodon,4.2.1,68,16,16,22802
ostheater.city,mastodon,4.2.1,68,66,69,176614
discordian.social,mastodon,4.1.4,67,25,45,85403
yukari.cafe,mastodon,4.2.1,67,10,24,15449
lviv.social,mastodon,4.2.1,67,18,29,7896
mastodon.eco,mastodon,4.2.0,67,15,53,1298
thefooty.club,mastodon,4.2.0,67,32,55,7974
booktoot.social,mastodon,4.2.0,67,13,25,3768
staging.moth.social,mastodon,4.2.0,67,30,49,442
social.ferrocarril.net,mastodon,4.2.0+gs-3.ferrocarril.net,67,14,42,2124
alpaka.social,mastodon,4.2.1,67,37,37,8139
mastodon.cl,mastodon,4.2.1,67,17,55,1826
t-mobile.community,mastodon,4.0.2,67,6,30,29
sicem.social,mastodon,4.2.1,67,10,23,481
social.pawsitiv.space,mastodon,4.1.3+glitch,67,20,59,2555
furs.social,mastodon,4.2.1,66,18,18,3899
mastocomm.org,mastodon,4.3.0-alpha.0+glitch,66,6,18,4938
neurodiversity-in.au,mastodon,4.2.0,66,16,32,11504
rls.social,mastodon,4.2.1,66,18,28,6676
toot.party,mastodon,4.1.9,66,8,13,10297
angrytoday.com,mastodon,3.3.0,66,5,27,10573
nuwasocial.com,mastodon,4.0.2,66,11,25,14165
gs.leftic.club,mastodon,4.2.1,66,10,16,74785
mstdn.isometry.group,mastodon,4.1.5,66,42,56,28218
nso.group,mastodon,4.2.1,65,28,56,1241
technodon.org,mastodon,4.0.2,65,15,45,2028
electroverse.tech,mastodon,4.1.9,65,15,38,3788
lediver.se,mastodon,4.1.7,65,23,33,8058
devschile.social,mastodon,4.1.4,65,8,42,469
deliverabilit.ie,mastodon,4.2.1,65,9,22,986
mastodon.quebec,mastodon,4.2.1,65,25,54,2815
mastodon-qu.net,mastodon,4.1.5,65,26,69,3356
taruntarun.net,mastodon,4.3.0-alpha.0,64,20,27,237589
chaotic.social,mastodon,4.2.1,64,21,45,12908
biscuit.town,mastodon,4.2.0-rc2+glitch,64,28,37,206160
laterracita.online,mastodon,4.2.0+glitch,64,29,44,22189
sparrow.cs.uni-magdeburg.de,mastodon,3.5.2,64,38,65,99
masto.measure.chat,mastodon,4.0.2,64,19,30,862
reseau.dupeuple.fr,mastodon,3.5.3,64,2,25,293
ljs.social,mastodon,4.1.4,64,15,34,722
mastodon.bv.linksjugend-solid.de,mastodon,4.1.4,64,15,34,722
social.heise.de,mastodon,4.2.1,63,41,52,32047
nitech.online,mastodon,3.5.1,63,17,22,3351
fanglitch.space,mastodon,4.3.0-alpha.0+glitch,63,28,46,13707
yamabi.co,mastodon,4.2.1,63,22,41,803
cartersville.social,mastodon,4.1.2,63,6,45,598
queer.garden,mastodon,4.2.1,63,24,33,63280
regenerate.social,mastodon,4.2.1,63,25,47,13645
glauca.space,mastodon,4.3.0-nightly.2023-10-11+glitch,63,17,33,12093
postpandemicparty.org,mastodon,4.2.1,63,9,22,4377
musain.cafe,mastodon,3.5.15,63,37,45,26288
saronno.one,mastodon,4.2.1,63,4,14,8336
social.goonj.xyz,mastodon,4.0.2,63,3,6,536
mstnf.com,mastodon,4.2.1,63,6,13,287
mastodon.bot,mastodon,4.1.10,62,34,64,90703
space-pirates.org,mastodon,4.1.3,62,17,37,5521
tsukihi.me,mastodon,4.3.0-alpha.0+glitch,62,27,51,40462
mastodon.bits-und-baeume.org,mastodon,4.2.0,62,0,0,4827
geno.social,mastodon,4.1.10,62,13,17,6072
social.azureheads.gr,mastodon,4.1.5,62,1,6,56
samstodon.net,mastodon,4.2.1,62,26,51,1887
plantex.top,mastodon,4.0.12,62,42,59,16333
snf-19213.ok-kno.grnetcloud.net,mastodon,3.1.4,62,0,3,56
ukrainian.network,mastodon,4.2.1,61,12,43,737
xreality.social,mastodon,4.2.0,61,16,85,305
retro.social,mastodon,4.1.3,61,16,27,273214
ipv6.social,mastodon,4.2.1,61,25,25,8646
nfld.me,mastodon,4.2.1,61,16,33,8303
privacyofficers.social,mastodon,4.2.1,61,15,36,910
publicgood.social,mastodon,4.2.0,61,17,35,2863
plamo.social,mastodon,4.1.6,61,8,36,2241
m.webtoo.ls,mastodon,4.1.4,61,37,54,5367
makerspace.social,mastodon,4.2.1,61,10,34,1275
paxation.info,mastodon,3.3.0,61,3,22,1208
wetshaving.social,mastodon,4.2.1,61,21,59,3146
almere.social,mastodon,4.1.4,61,12,27,1647
social.yonix.eu,mastodon,3.3.0,61,4,9,449
don.neet.co.jp,mastodon,4.2.1,61,24,40,11812
integrity.hostdon.ne.jp,mastodon,4.2.1,61,42,68,31387
someone.elses.computer,mastodon,4.2.0,60,37,51,12262
packmates.org,mastodon,4.2.1,60,44,65,20565
atx.pub,mastodon,4.1.5+glitch,60,22,36,4609
craba.cab,mastodon,4.2.0,60,45,65,4771
gamingjp.org,mastodon,4.2.1,60,27,50,118181
childcare.hostdon.ne.jp,mastodon,4.2.1,60,20,38,10063
curling.social,mastodon,4.1.10,60,16,28,3759
mastodon.modern-industry.com,mastodon,4.2.0,60,5,12,2695
lipn.info,mastodon,4.2.0,60,28,37,4966
franken.social,mastodon,4.1.6,60,32,46,8226
plutus.social,mastodon,4.2.1,60,9,13,1036
denton.social,mastodon,4.1.4,59,16,41,7090
techforgood.social,mastodon,4.2.1,59,5,20,2854
toot.works,mastodon,4.2.1,59,15,51,9309
mindplex.sotatek.works,mastodon,4.1.1,59,2,40,877
zone.liolok.com,mastodon,4.2.0,59,12,26,2717
mastodns.net,mastodon,4.2.1,59,25,41,1026
developer.social,mastodon,4.1.4,59,8,26,279
newwest.social,mastodon,4.2.1,59,13,19,3305
schoolverse.run,mastodon,4.2.1,59,47,60,32899
assortedflotsam.com,mastodon,4.2.1,58,10,22,277323
tukkers.online,mastodon,4.2.1,58,18,30,2173
plushies.social,mastodon,4.2.1,58,48,54,29764
anvil.social,mastodon,4.1.4,58,18,38,1259
philately.social,mastodon,4.2.1,58,14,28,1383
gamedev.social,mastodon,4.2.0,58,5,5,791
jitakurack.chotto.moe,mastodon,4.2.0-rc2,57,6,11,1751
mstdn.yakitamago.info,mastodon,4.2.1,57,10,15,516495
cmh.one,mastodon,4.1.9,57,22,36,7707
technews.social,mastodon,4.1.2,57,9,26,934
social.sp-codes.de,mastodon,4.2.1,57,24,45,15715
krefeld.life,mastodon,4.1.10,57,24,29,29320
mstdon.com,mastodon,4.2.0+glitch,57,3,14,1613
tvitero.com,mastodon,4.2.1,57,5,10,7607
dreamin.online,mastodon,4.2.0,57,11,21,1448
hep.social,mastodon,4.2.0,57,16,21,9265
sanjuans.life,mastodon,4.2.1,57,12,19,11672
hsjz.engenderchina.com,mastodon,4.0.2,57,15,26,6643
dosgame.club,mastodon,4.2.0,56,32,42,39488
chaosphere.hostdon.jp,mastodon,4.2.1,56,52,52,1769638
recht.social,mastodon,4.2.1,56,6,33,3442
port87.social,mastodon,4.2.0,56,10,26,7454
suomi.social,mastodon,4.2.1,56,31,53,8651
nuernberg.social,mastodon,4.0.2,56,15,33,923
onlycasino.legal,mastodon,3.5.7-casino,56,21,26,77392
poyoro.id,mastodon,4.2.1,56,17,57,1226
social.ds106.us,mastodon,4.2.0,56,36,45,15473
eu.mastodon.green,mastodon,4.2.1,56,23,39,3922
spd.social,mastodon,4.2.1,56,24,34,2116
torlaz.online,mastodon,3.1.4,56,37,266,10461
starbase80.wtf,mastodon,4.2.1,56,15,31,15201
akiba.party,mastodon,4.2.1,56,16,26,2871
hub.vahfoom3iquahfah.infinitedisk.com,mastodon,4.2.0+glitch,56,13,44,52095
blockriot.com,mastodon,4.2.1,56,2,21,10013
mastodon.nogods.be,mastodon,4.2.1,56,1,1,451
slonik.0chan.ru,mastodon,3.5.3,56,8,25,691
pinkorange.red,mastodon,4.2.1,56,23,38,89286
social.boom.army,mastodon,4.2.1,56,18,58,766
kzoo.to,mastodon,4.2.1,55,14,19,8977
mastonederland.nl,mastodon,4.2.1,55,20,32,25449
rheinland.social,mastodon,4.2.1,55,20,30,426
mastodon.furrypaws.cc,mastodon,4.0.2,55,13,28,330
kishkush.net,mastodon,4.2.1,55,10,23,2490
hameln.social,mastodon,4.2.1,55,26,37,4678
triggeron.net,mastodon,4.2.1,55,62,62,34
swecyb.com,mastodon,4.2.0,54,25,57,1594
nafo.army,mastodon,4.2.1,54,22,53,2791
lepoulsdumonde.com,mastodon,4.3.0-alpha.0,54,51,53,15243
suma-ev.social,mastodon,4.2.1,54,28,36,4517
mastodon.derveni.org,mastodon,3.3.0,54,2,3,38129
privex.social,mastodon,4.2.0,54,11,18,562
ocf.masto.host,mastodon,4.2.1,54,4,6,5272
social.freecodecamp.org,mastodon,3.1.3,54,3,16,252
nitiasa.com,mastodon,4.1.4,53,3,23,12501
snailedit.social,mastodon,4.1.10+snailedit.1,53,25,40,2084
fan.vtubertoot.com,mastodon,4.1.0,53,16,44,910
enshittification.social,mastodon,4.2.1,53,15,67,441
crazylab.online,mastodon,3.4.0rc2,53,2,6,1821
radicalsocial.work,mastodon,4.2.1,53,9,19,1233
wxcloud.social,mastodon,4.2.1,53,14,18,50050
vandrare.page,mastodon,4.2.1,53,20,44,29107
toot.whatever.cz,mastodon,4.2.1,53,4,10,1213
s-t.club,mastodon,4.2.1,53,24,28,17273
karlsruhe.social,mastodon,4.1.2,53,13,20,1458
social.in-athens.gr,mastodon,3.4.0,53,2,12,47
reliverse.social,mastodon,4.2.1,53,25,35,1878
social.porto.digital,mastodon,3.5.1,53,3,13,1822
social.stlouist.com,mastodon,4.2.1,52,19,38,9531
mstdn.gunma.jp,mastodon,4.2.0,52,13,35,2074
this.mouse.rocks,mastodon,4.2.1,52,18,25,246092
bolha.one,mastodon,4.2.1,52,47,60,12896
hofra.rocks,mastodon,4.2.0,52,9,11,3023
