domain,application,version,users,MAU,HYAC,posts
fedi.astrid.tech,akkoma,3.8.0,12,8,12,37860
fedi.getimiskon.xyz,akkoma,3.10.4,12,7,12,12839
novo-atlantis.null.media,akkoma,3.9.3,12,7,11,2155
s.awoo.dev,akkoma,3.10.3-0-g368b22f-develop,12,6,7,955
social.platypus-sandbox.com,akkoma,3.10.4,11,8,15,8654
nyan.network,akkoma,3.10.3-202-g1b838627-1-CI-COMMIT-TAG---,11,7,10,3743
pl.comofas.org,akkoma,3.9.3-2-gfb8081e1-develop,11,2,7,67
mastodon.tardis.pw,akkoma,3.10.3-1-g43c5fd5d,11,3,6,3911
akko.chir.rs,akkoma,3.10.3,11,7,7,10000
buff.tomboyfan.club,akkoma,3.10.4-1-gebfb617b,11,6,11,3742
fedi.reimu.info,akkoma,3.10.3-201-gc8e08e9c-develop,11,7,9,6160
mar.archipielago.uno,akkoma,3.10.4,11,7,10,1088
a.jerl.zone,akkoma,3.7.1-0-gfef4bae,11,null,null,129
breakdown.moe,akkoma,3.9.3-0-g9d7c877,11,3,10,50
comms.thedigitallancabin.net,akkoma,3.10.4-1-gebfb617b,11,14,14,350
fedi.criminallycute.fi,akkoma,3.10.3-203-gd1af78ab-develop,10,7,11,5992
social.naln1.ca,akkoma,3.10.4-1-gebfb617b,10,4,9,15394
pl.catboyindustries.co,akkoma,3.10.3-212-g6cc523bd-develop,10,3,4,398
fediverse.date,akkoma,3.9.3-28-g9d7c877d,10,1,8,241
social.rjp.is,akkoma,3.9.3-95-g801fe9fe-develop,9,6,7,30529
fedi.kemonomimi.gay,akkoma,3.10.4,9,8,11,1785
fedi.akselmo.dev,akkoma,3.10.2,9,8,10,2667
brotka.st,akkoma,3.10.3-0-g43c5fd5,9,6,8,39343
blimey.social,akkoma,3.10.4-0-gebfb617,9,3,8,2803
antani.pm,akkoma,3.10.3-212-g6cc523bd-develop,9,5,7,3040
social.qunn.eu,akkoma,3.10.4-0-gebfb617,9,4,5,1747
um.lugarzinho.top,akkoma,3.9.2,9,2,4,781
snack.social,akkoma,3.3.1,9,null,null,12433
blahaj.ovh,akkoma,3.9.3-28-g9d7c877d,9,3,10,134
quite.lewd.today,akkoma,3.9.3-28-g9d7c877d,9,4,9,14
relay.blimey.social,akkoma,3.10.4-0-gebfb617,9,3,8,2666
spinny.city,akkoma,3.10.4-1-gebfb617b,8,7,8,948
void.lgbt,akkoma,3.10.3-0-g43c5fd5,8,7,7,5566
fedi.worf.win,akkoma,3.9.3-28-g9d7c877d,8,3,8,255
free.gaycatgirl.sex,akkoma,3.9.3-28-g9d7c877d,8,7,7,3971
social.nauk.io,akkoma,3.10.4-0-g0af8e93,8,3,4,1125
fyrfli.social,akkoma,3.10.3-1-g43c5fd5d,8,5,8,1129
dartboard.social,akkoma,3.9.3-0-g9d7c877,8,2,2,110
trans.enby.town,akkoma,3.10.2-158-g59af68c6-develop,8,5,8,32905
oopsall.gay,akkoma,3.10.4,8,4,6,1033
critica.li,akkoma,3.10.4-0-gebfb617,8,2,5,82
pleroma.les-requin.net,akkoma,3.10.4,8,1,3,486
ak.zweitekassabitte.jetzt,akkoma,3.9.3,8,6,8,4195
telex.disinfo.zone,akkoma,3.8.0,8,4,4,391
3v.is,akkoma,3.10.2,8,4,7,339
hasthebig.gay,akkoma,3.10.3-212-g6cc523bd-develop,8,5,6,81
amble.quest,akkoma,3.10.4,8,4,6,1292
mastodon.nove.team,akkoma,3.10.4-1-gebfb617b,8,7,11,606
p.girlc.at,akkoma,3.10.4-1-gebfb617b,8,6,8,3975
zy.gy,akkoma,3.7.1-yf,7,null,null,3848
introvert.social,akkoma,3.10.2-0-gba1ed37,7,1,2,789
wiir.libtar.de,akkoma,3.10.4,7,3,4,3227
gamerfort.social,akkoma,3.9.3-0-g9d7c877,7,2,4,298
satania.social,akkoma,3.10.4,7,5,9,323
wired.icu,akkoma,3.10.4-0-gebfb617,7,9,9,15
rail.siberia.work,akkoma,3.5.0-0-g20a652841-hostdon-akkoma-latest,7,null,null,2971
meow.church,akkoma,3.10.3-0-g43c5fd5,7,6,8,93
social.isopod.cool,akkoma,3.9.3-0-g9d7c877,7,1,2,1252
neuro.cooking,akkoma,3.5.0-0-g63f2d1cbe,7,null,null,393
raccoon.cafe,akkoma,3.10.4-0-gebfb617,7,3,6,920
otlab.dev,akkoma,3.9.3,7,5,7,381
ack.nerdfight.online,akkoma,3.9.3-0-g9d7c877,7,5,5,4818
fedi.tilde.green,akkoma,3.10.3,7,3,3,75
people.unfoo.net,akkoma,3.10.4,6,1,3,53
akkoma.nl,akkoma,3.10.4-0-gebfb617,6,3,5,69
asphodel.rip,akkoma,3.10.4,6,6,6,1080
computering.pro,akkoma,3.10.4-0-gebfb617,6,3,4,164
life.starly.blue,akkoma,3.10.3-0-g43c5fd5,6,3,6,600
ak.kyaruc.moe,akkoma,3.4.0-0-gf91b89673,6,null,null,54703
snake.cool,akkoma,3.9.3-28-g9d7c877d,6,3,6,42
fedi.bapril.pl,akkoma,3.10.4,6,5,6,560
idiomdrottning.org,akkoma,3.10.4-1-gebfb617b,6,3,3,14426
kayii.goe.land,akkoma,3.10.3,6,1,1,1385
akkoma.net,akkoma,3.5.0-develop,6,null,null,7
snipetteville.in,akkoma,3.7.1-0-gfef4bae,6,null,null,272
teabag.ninja,akkoma,3.10.3-0-gc887dd4,6,1,3,820
akkoremaji.club,akkoma,3.10.4-0-gebfb617,6,5,6,2066
raki.club,akkoma,3.10.4-0-gebfb617,6,1,3,415
akk2.eniehack.net,akkoma,3.10.4-0-gebfb617,6,3,6,405
a.lufimianet.jp,akkoma,3.5.0-0-g20a652841-hostdon-akkoma-latest,6,null,null,1559
pl.salushnes.solutions,akkoma,3.9.3,6,8,8,2793
fedi.cpluspatch.com,akkoma,3.10.4-0-gebfb617,6,2,3,20166
curiouscabbit.social,akkoma,3.10.4,6,3,7,72
a.awootism.club,akkoma,3.10.4,6,3,6,209
bcn.fedi.cat,akkoma,3.10.4-0-gebfb617,6,5,6,1519
a.tela.moe,akkoma,3.9.3-28-g9d7c877d,6,4,5,8579
brettvormkopf.de,akkoma,3.10.4,6,2,3,212
kawaii.kitsune.cafe,akkoma,3.3.1-45-g16a31872-develop,6,null,null,7878
social.raccoon.college,akkoma,3.9.3-0-g9d7c877,6,2,5,133
santadog.social,akkoma,3.9.3-0-g9d7c877,6,3,6,131
akko.lea.moe,akkoma,3.10.4,6,1,3,9
fedi.midnight.miami,akkoma,3.9.3-28-g9d7c877d,6,2,6,1262
social.busterboys.net,akkoma,3.10.2,6,3,5,25
