domain,application,version,users,AMU,AHYU,posts
zli-misskey.shinbunbun.com,misskey,2023.10.1,14,null,null,57
baud.rkevin.dev,mastodon,3.5.2,1,0,1,1
mk.grailwar.com,misskey,13.14.2,4,null,null,19
misskey.ptchat.net,misskey,13.14.1,2,null,null,2
artificial.place,misskey,12.119.2,4,0,1,3
herbscat.f5.si,misskey,13.13.2,2,null,null,67
misskey.nemesis53126.com,misskey,13.14.2,3,null,null,44
mi.kmwg.moe,misskey,2023.9.2,2,null,null,8
tooter.hellcat.net,mastodon,4.1.5,3,1,3,32
brunetti.social,mastodon,4.0.2,2,1,1,2
social.dvsn.net,mastodon,4.2.1,1,1,1,534
unam.social,pleroma,2.5.4,1,1,1,0
onigiri-mogmog.hostdon.ne.jp,mastodon,4.2.1,1,2,2,2
mtd.dgs.town,mastodon,4.1.9,3,2,3,25
sns.nekonohige.jp,mastodon,4.2.1,3,1,3,7
tuttle.club,hometown,4.0.6+hometown-1.1.1,3,2,2,5
mst.csoundc.info,mastodon,4.2.1,1,1,1,5
ohuton.ippainetai.com,misskey,13.13.2,4,null,null,23
wb.zcjwechat.tk,misskey,13.14.2,1,null,null,3
sns.kanataso.net,mastodon,4.0.2,2,2,2,38
furuyoni-misskey.online,misskey,2023.10.1,105,null,null,1092
d-verse.social,misskey,13.13.2,2,null,null,1
shibimega.com,firefish,1.0.3-shibimega,86,65,85,531
pleroma.waynetec.us,pleroma,2.5.4,1,1,1,0
rwfertilizer.mydns.jp,mastodon,4.2.0-beta1,1,1,1,37
cvjca.xn--q9jyb4c,mastodon,4.3.0-alpha.0,1,1,1,0
lotz.cloud,mastodon,4.2.1,15,12,15,553
505-notfound.monster,mastodon,4.2.1,29,27,30,59666
zakharchanka.com,mastodon,4.2.1,2,2,2,1
firefish.jp,firefish,1.0.5-dev18,11,8,9,10
mastodon.eew.dk,mastodon,4.1.6,2,0,2,0
a1computers.social,mastodon,4.2.0-beta1,4,5,5,256
rngm-zakaecommu.fedicity.net,mastodon,4.2.1,121,118,138,101457
bleats.koza.rip,mastodon,4.2.1,5,1,6,99
conventionexplorers.com,mastodon,4.3.0-alpha.0,1,1,1,0
ostheater.city,mastodon,4.2.1,68,64,69,176542
mastodon.dommunicate.com,mastodon,4.1.6,1,1,1,1
misskey.ashigayahomura.com,misskey,13.13.2,3,null,null,82
tweet.assilvestrar.club,mastodon,4.1.6,3,3,3,6
komugisuki.com,misskey,2023.10.1,6,null,null,18532
aeternam.hostdon.ne.jp,mastodon,4.2.1,27,28,36,13409
dharmaveernamaskar.in,mastodon,4.0.2,9,2,10,43
misskey.ymcpa.jp,misskey,13.14.2,2,null,null,38
misskey.stopsig.dev,misskey,13.14.2,3,null,null,17
mastodon.leishi.io,mastodon,4.0.8,2,0,2,1
