domain,application,version,users,MAU,HYAU,posts
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
blob.cat,akkoma,3.9.3-0-gd83f5f66f-blob,1817,152,351,577626
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1574,47,96,25881
fe.disroot.org,akkoma,3.10.4-0-gebfb617,1398,286,763,24465
fedi.absturztau.be,akkoma,3.10.3-212-g6cc523bd-develop,1370,108,264,847042
genserver.social,akkoma,3.10.3-0-gc887dd4,980,156,375,5587
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,860,105,291,119393
outerheaven.club,akkoma,3.10.3-0-g43c5fd5,785,99,200,440633
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,733,173,645,44556
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,355,40,110,1886
nixnet.social,akkoma,3.10.2-0-gba1ed37,310,45,106,29879
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,309,48,88,5998
detroitriotcity.com,akkoma,3.10.4-0-gebfb617,224,54,161,56695
pleroma.envs.net,akkoma,3.10.4-0-g0af8e93,220,51,99,19394
freespeech.group,akkoma,3.10.4-0-gebfb617,203,5,7,35948
mycrowd.ca,akkoma,3.10.4-1-gebfb617b,146,28,66,76659
akko.disqordia.space,akkoma,3.9.3,145,43,95,166377
seafoam.space,akkoma,3.10.4-0-gebfb617,124,45,78,30787
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,112,8,14,104428
akko.wtf,akkoma,3.10.3-221-g6fb91d79-develop,110,58,95,115326
headpat.cafe,akkoma,3.10.4-0-g0af8e93,109,29,59,841
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,94,11,30,54649
oddballs.online,akkoma,3.10.4-0-gebfb617,94,53,53,1444
decept.org,akkoma,3.9.3-0-g9d7c877,93,19,30,13407
bdx.town,akkoma,3.9.3-0-g80519fe,81,40,87,16621
ak.vern.cc,akkoma,3.9.3,74,8,21,3574
donotsta.re,akkoma,3.10.4-0-gebfb617,72,30,41,10984
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,71,13,33,1048
ihatebeinga.live,akkoma,3.10.3-194-g063e3c0d-develop,70,16,22,289603
monk.ey.business,akkoma,3.10.4-1-gebfb617b,64,54,64,18012
moth.zone,akkoma,3.10.2-0-gba1ed37,63,28,45,36344
