domain,application,version,accounts,MAU,HYAU,posts
llun.dev,activities.next,0.1.7,1,126,288,150
www.llun.me,activities.next,0.1.7,1,126,288,150
activity.xsrv.win,activity.xsrv.win,1,1,null,null,1
activitypub.phronetic-ai.in,activitypub-agent-server,1.0.0,25,null,null,244
relay.gamelinks007.net,activity-pub-relay,0.8.0,1,null,null,0
mofu-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
tasty-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
relay.fedi.agency,activityrelay, 0.3.5,1,0,0,0
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
relay.c.im,activityrelay, 0.3.2,1,0,0,0
relay.lazylabs.co,activityrelay, 0.2.4 bbdc151ed301c9de82d18fecd8af4ba0061b635f,1,0,0,0
relay.froth.zone,activityrelay, 0.3.5,1,0,0,0
en.relay.friendi.ca,activityrelay, 0.3.5 f11d57580f2c18517d646407e6e30990ad419c8f,1,0,0,0
relay.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.shc.kanagawa.jp,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.kretschmann.social,activityrelay, 0.2.4 15b1324df280c87f6496da07cab056f7d2809360,1,0,0,0
relay.better.boston,activityrelay, 0.2.0 ???,1,null,null,0
relay.joelle.us,activityrelay, 0.2.2,1,null,null,0
relay-tw.seediqbale.xyz,activityrelay, 0.3.5,1,0,0,0
relay.21314.de,activityrelay, 0.3.1,1,0,0,0
relay.uggs.io,activityrelay, 0.3.5,1,0,0,0
pubrelay.moegirl.live,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
c9e664de3c4640278b5024636d29d8e3.gothloli.club,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
relay.darmstadt.social,activityrelay, 0.2.2,1,null,null,0
relay.witter.cz,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.1d4.us,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.social.net.ua,activityrelay, 0.2.4 df231e3b51523047267453ba6500263c4cb24503,1,0,0,0
relay-ap.nobigtech.es,activityrelay, 0.1 80a8c9b391a6332b535ea3d2151d2f1516aa5059,1,null,null,0
relay.mp-development.de,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.b0x.social,activityrelay, 0.2.3,1,null,null,0
relay.krems.social,activityrelay, 0.2.3,1,null,null,0
relay-on.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-qc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-bc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-mb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ab.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ns.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-nl.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-nb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-pe.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-sk.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
aprelay.real-ity.com,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.adtension.com,activityrelay, 0.2.4,1,0,0,0
relay.skinheads.social,activityrelay, 0.3.5,1,0,0,0
relay.mastodon.ml,activityrelay, 0.3.5,1,0,0,0
relay.todon.eu,activityrelay, 0.3.5,1,0,0,0
relay.girino.org,activityrelay, 0.3.5,1,0,0,0
relay.tools.c30.life,activity-relay,0.1.0-cpp,20,20,20,0
anagora.org,Agora of Flancia,0.1.0,130,22,28,46318
fe.disroot.org,akkoma,3.16.0-0-g6d88834,3829,362,923,66293
cache.blob.cat,akkoma,3.13.2-0-gcccd7450e-blob,1961,88,159,684421
blob.cat,akkoma,3.13.2-0-gcccd7450e-blob,1959,92,161,684118
fedi.absturztau.be,akkoma,3.17.0-174-g31d277ae-develop,1384,78,139,969265
genserver.social,akkoma,3.17.0-0-g06589d9--stable-,1044,39,81,9342
outerheaven.club,akkoma,3.15.1-0-g7eec493,885,96,138,597197
miraiverse.xyz,akkoma,3.16.0-0-g6d88834,780,55,106,62262
seafoam.space,akkoma,3.13.2-0-g050bc74,345,8,17,36259
rebelbase.site,akkoma,3.16.0-0-g6d88834,330,20,25,30303
pleroma.envs.net,akkoma,3.17.0-0-g06589d9--stable-,323,53,85,61173
nixnet.social,akkoma,3.13.2-0-g050bc74,320,18,31,30240
media.nixnet.social,akkoma,3.13.2-0-g050bc74,320,20,32,30252
labyrinth.zone,akkoma,3.16.0,222,75,117,282914
brain.worm.pink,akkoma,3.15.2,209,48,95,123273
ak.vern.cc,akkoma,3.15.2,199,5,11,42835
b.donotsta.re,akkoma,3.15.2-0-g5bceb1d,199,75,99,175470
a.donotsta.re,akkoma,3.15.2-0-g5bceb1d,199,75,99,175470
donotsta.re,akkoma,3.15.2-0-g5bceb1d,198,73,97,174331
infosec.place,akkoma,3.17.0,155,23,40,4070
void.lgbt,akkoma,3.15.2-0-g5bceb1d,142,62,103,108486
akko.wtf,akkoma,3.17.0-1278-gfbfe8ee0-akko-wtf,125,48,59,243860
glandelinnia.club,akkoma,3.16.0-60-g6d88834f,122,66,133,25159
social.translunar.academy,akkoma,3.15.2-0-g5bceb1d,114,54,86,207722
