domain,application,version,accounts,MAU,HYAU,posts
fedi.alemi.dev,??pub,0.7.3,2,1,1,788
llun.social,activities.next,1.0.13,2,2,2,1696
llun.dev,activities.next,0.1.7,1,126,288,150
www.llun.me,activities.next,1.0.12,1,126,288,150
activity.xsrv.win,activity.xsrv.win,1,1,null,null,1
activitypub.phronetic-ai.in,activitypub-agent-server,1.0.0,35,null,null,1946
s.dfaria.eu,activitypub-php,1.0.3,1,265,265,265
relay.gamelinks007.net,activity-pub-relay,0.8.0,1,null,null,0
relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
mofu-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
tasty-relay.my-sky.blue,activity-pub-relay,0.8.0,1,null,null,0
ap.ngs.io,activitypub-server,1.0.0,1,1,1,2
relay.fedi.agency,activityrelay, 0.3.5,1,0,0,0
en.relay.friendi.ca,activityrelay, 0.3.5 f11d57580f2c18517d646407e6e30990ad419c8f,1,0,0,0
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
relay.c.im,activityrelay, 0.3.2,1,0,0,0
relay.adtension.com,activityrelay, 0.2.4,1,0,0,0
relay.an.exchange,activityrelay, 0.3.5,1,0,0,0
relay.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.froth.zone,activityrelay, 0.3.5,1,0,0,0
relay.shc.kanagawa.jp,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.girino.org,activityrelay, 0.3.5,1,0,0,0
relay.21314.de,activityrelay, 0.3.1,1,0,0,0
relay-tw.seediqbale.xyz,activityrelay, 0.3.5,1,0,0,0
relay-ap.nobigtech.es,activityrelay, 0.1 80a8c9b391a6332b535ea3d2151d2f1516aa5059,1,null,null,0
relay.witter.cz,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.better.boston,activityrelay, 0.2.0 ???,1,null,null,0
relay.1d4.us,activityrelay, 0.2.4 eea7dc81eaba43aeb90b9304e9d4cb12e6b6ef1b,1,0,0,0
relay.social.net.ua,activityrelay, 0.2.4 df231e3b51523047267453ba6500263c4cb24503,1,0,0,0
relay-nb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-pe.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ns.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-nl.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.todon.eu,activityrelay, 0.3.5,1,0,0,0
relay.joelle.us,activityrelay, 0.2.2,1,null,null,0
relay.darmstadt.social,activityrelay, 0.2.2,1,null,null,0
relay.mp-development.de,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
pubrelay.moegirl.live,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
relay.mastodon.ml,activityrelay, 0.3.5,1,0,0,0
relay.krems.social,activityrelay, 0.2.3,1,null,null,0
relay-bc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-mb.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-on.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-ab.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay.lazylabs.co,activityrelay, 0.2.4 bbdc151ed301c9de82d18fecd8af4ba0061b635f,1,0,0,0
relay.b0x.social,activityrelay, 0.2.3,1,null,null,0
relay-qc.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
relay-sk.activitypub.ca,activityrelay, 0.2.3,1,null,null,0
aprelay.real-ity.com,activityrelay, 0.2.2 729477820fec4ac29e232eabc1a8421e088b945c,1,null,null,0
relay.skinheads.social,activityrelay, 0.3.5,1,0,0,0
c9e664de3c4640278b5024636d29d8e3.gothloli.club,activityrelay, 0.1 26a6d80227e3f339e7f286d67afe40537e88cfa5,1,null,null,0
relay.uggs.io,activityrelay, 0.3.5,1,0,0,0
relay.tools.c30.life,activity-relay,0.1.0-cpp,30,30,30,0
anagora.org,Agora of Flancia,0.1.0,130,11,31,46153
fe.disroot.org,akkoma,3.17.0-0-g06589d9--stable-,3980,404,908,71484
blob.cat,akkoma,3.13.2-0-gcccd7450e-blob,1972,83,151,687428
cache.blob.cat,akkoma,3.13.2-0-gcccd7450e-blob,1969,83,148,687666
fedi.absturztau.be,akkoma,3.18.0-244-ga913c112-develop,1386,72,129,976664
genserver.social,akkoma,3.17.0-0-g06589d9--stable-,1050,32,77,9439
outerheaven.club,akkoma,3.15.1-0-g7eec493,903,91,132,605721
miraiverse.xyz,akkoma,3.18.0-0-g12bccbb--stable-,789,43,108,62794
seafoam.space,akkoma,3.13.2-0-g050bc74,384,9,18,36772
rebelbase.site,akkoma,3.16.0-0-g6d88834,341,22,29,27965
pleroma.envs.net,akkoma,3.18.0-0-g12bccbb--stable-,341,57,98,63898
nixnet.social,akkoma,3.13.2-0-g050bc74,320,19,28,30386
media.nixnet.social,akkoma,3.13.2-0-g050bc74,320,19,28,30393
brain.worm.pink,akkoma,3.15.2,231,61,98,135489
labyrinth.zone,akkoma,3.16.0,221,70,109,298726
donotsta.re,akkoma,3.15.2-0-g5bceb1d,211,73,104,188420
b.donotsta.re,akkoma,3.18.1-0-g792385f--stable-,211,73,104,188980
a.donotsta.re,akkoma,3.18.1-0-g792385f--stable-,211,73,104,188980
ak.vern.cc,akkoma,3.17.0,202,7,10,56613
infosec.place,akkoma,3.17.0,160,19,40,4648
void.lgbt,akkoma,3.15.2-0-g5bceb1d,156,68,101,113604
bdx.town,akkoma,3.16.0-0-g071bb07,126,28,58,28992
akko.wtf,akkoma,3.18.0-1401-g411fcfdf-akko-wtf,124,42,55,254245
glandelinnia.club,akkoma,3.16.0-60-g6d88834f,121,55,91,29460
pleasetf.me,akkoma,3.17.0+0-g60d98fcc,118,76,100,25844
media.pleasetf.me,akkoma,3.17.0+0-g60d98fcc,118,76,100,25883
cooltrans.men,akkoma,3.15.2,117,16,27,22027
social.translunar.academy,akkoma,3.15.2-0-g5bceb1d,114,54,80,213167
channel.coolstation.space,akkoma,3.13.2-3-gdc2f0d3b-wl-stable,110,64,97,24444
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,100,5,9,87628
headpat.cafe,akkoma,3.15.1-0-g7eec493,96,13,22,1207
kowelenz.social,akkoma,3.17.0-0-g06589d9--stable-,86,7,11,12134
migration.kowelenz.social,akkoma,3.17.0-0-g06589d9--stable-,86,8,11,12161
media.kowelenz.social,akkoma,3.17.0-0-g06589d9--stable-,86,8,11,12161
corteximplant.net,akkoma,3.18.0-0-g12bccbb--stable-,85,35,55,18569
social.kernel.org,akkoma,3.16.0,84,40,52,14831
posting.isincredibly.gay,akkoma,3.15.2+wl1,84,21,32,8843
froth.zone,akkoma,3.16.0-3057-g99c2ef6f-froth-zone,72,6,9,141891
ihatebeinga.live,akkoma,3.18.0-244-ga913c112-develop,70,12,14,289558
pl.m0e.space,akkoma,3.17.0-0-g06589d9--stable-,70,10,15,10303
fedi.tesaguri.club,akkoma,3.15.2,68,5,12,23688
foxy.social,akkoma,3.13.2,63,7,7,283
lebensraum.slavery.trade,akkoma,3.10.2,55,41,43,2037
weague.awful.cloud,akkoma,3.15.2-wl-stable+wl1,54,24,33,4600
gosuslugi.social,akkoma,3.8.0,52,6,7,307
ak.kawen.space,akkoma,3.15.1-0-gfc2c740-develop,52,19,22,87173
suya.place,akkoma,3.18.0-1146-g58c004af-suyaplace,49,21,31,71386
pinksheep.org,akkoma,3.17.0-0-g06589d9--stable-,47,2,3,1270
uchu-teien.com,akkoma,3.17.0,44,5,12,21725
crimew.gay,akkoma,3.15.2-945-g5beb286b-develop,44,6,15,63958
kitty.haus,akkoma,3.17.0,44,5,7,21056
synthpals.social,akkoma,3.13.2,44,22,37,1587
akkoma.noellabo.jp,akkoma,3.15.2-0-g5bceb1d,43,10,23,924
fedi.catto.garden,akkoma,3.18.0,39,18,25,19292
woem.space,akkoma,3.15.2,39,16,21,198151
rail.siberia.work,akkoma,3.15.2-0-ge924294a2,37,15,38,22545
netzsphaere.xyz,akkoma,3.15.2-0-g5bceb1d,35,13,15,181233
tailswish.industries,akkoma,3.17.0-2-g14c4ac67-tailswish,33,8,10,14074
akkoma.mellivora.social,akkoma,3.15.1-0-g4b959437f-wl-stable,32,15,24,10569
sweet.succubi.services,akkoma,3.15.2,31,5,6,4313
kill-corporations.enterprises,akkoma,3.15.2-0-g5bceb1d,30,8,13,10975
iscute.moe,akkoma,3.10.4,29,5,6,140666
haxe.social,akkoma,3.16.0,29,3,6,190
novaparis.art.br,akkoma,3.17.0-0-g06589d9--stable-,29,13,17,1984
blobfox.es,akkoma,3.13.2-2006-gef4a28a3-fox,28,4,6,1453
cache.blobfox.es,akkoma,3.13.2-2006-gef4a28a3-fox,28,4,6,1454
upload.blobfox.es,akkoma,3.13.2-2006-gef4a28a3-fox,28,4,6,1454
social.qunn.eu,akkoma,3.18.0-0-g12bccbb--stable-,27,3,11,1500
florp.social,akkoma,3.15.2,27,17,22,5100
a.florp.social,akkoma,3.15.2,27,16,22,5176
b.florp.social,akkoma,3.15.2,27,16,22,5176
c.florp.social,akkoma,3.15.2,27,16,22,5176
social.duniter.org,akkoma,3.13.2-0-g050bc74,26,6,16,146
pr.shc.kanagawa.jp,akkoma,3.13.2-12-gc0823e33-v3-13-2-fix,25,0,1,2443
agda.club,akkoma,3.17.0-0-g06589d9--stable-,25,2,3,616
ng.cathoderay.tube,akkoma,3.15.2-0-g5bceb1d,25,15,17,8658
xyzzy.link,akkoma,3.15.1,25,11,17,55865
idealists.su,akkoma,3.10.4-1-gebfb617b,25,6,12,989
eggware.social,akkoma,3.16.0-72-ga5683966-develop,25,12,16,924
www.idealists.su,akkoma,3.10.4-1-gebfb617b,25,6,11,991
fourvo.id,akkoma,3.10.2,25,5,27,160
larkspur.one,akkoma,3.17.0-149-g4fd99f1c-lark-develop,24,5,9,5672
novo-atlantis.null.media,akkoma,3.15.2,24,5,8,1295
media.larkspur.one,akkoma,3.17.0-149-g4fd99f1c-lark-develop,24,5,9,5689
brainport.social,akkoma,3.18.0,23,1,3,4
fff.fo.am,akkoma,3.15.2-0-g5bceb1d,23,6,9,1931
akk.novalug.org,akkoma,3.15.2-0-g5bceb1d,23,7,18,236
akkoma.questingbeast.fyi,akkoma,3.13.2-10-g8bbc4714-wl-stable,23,6,12,1220
media.questingbeast.fyi,akkoma,3.13.2-10-g8bbc4714-wl-stable,23,6,12,1221
bcn.fedi.cat,akkoma,3.14.1-0-g5ae392f,22,11,18,7563
pleroma.viridianpatriots.com,akkoma,3.15.1-0-g7eec493,22,7,8,14528
yourwalls.today,akkoma,3.18.0-473-g90bcd3e0-yourwalls-today,21,14,21,45655
fedi.seriousbusiness.international,akkoma,3.15.2-0-g5bceb1d,21,5,7,10610
java.duke.social,akkoma,3.16.0-60-g6d88834f,21,11,17,27988
kongwoo.icu,akkoma,3.9.3-0-g9d7c877,20,1,1,7297
akko.chir.rs,akkoma,3.18.0,20,8,10,22506
mar.archipielago.uno,akkoma,3.13.2,19,10,14,2299
is.badat.dev,akkoma,3.18.0,18,2,5,50218
yearning.gay,akkoma,3.16.0-0-g6d88834,17,12,13,34938
ilja.space,akkoma,3.15.2-892-g19dd0ef9-ilja-space,17,4,6,6789
westergaard.social,akkoma,3.18.0,17,3,3,5690
ak.kumis.industries,akkoma,3.18.0-0-g12bccbb--stable-,17,11,14,18430
media.ilja.space,akkoma,3.15.2-892-g19dd0ef9-ilja-space,17,4,6,6805
nyan.network,akkoma,3.17.0,16,8,12,16589
fedi.tilde.green,akkoma,3.17.0,16,4,7,646
junipurge.de,akkoma,3.15.2,16,4,21,4004
social.owotel.com,akkoma,3.15.1,15,1,4,183
magic.win,akkoma,3.13.2-0-g050bc74,15,0,0,82
nuages.cloud,akkoma,3.17.0-0-g06589d9--stable-,15,11,15,187
chirpr.terrenly.com,akkoma,3.10.4-1-gebfb617b,15,0,1,74
zy.gy,akkoma,3.10.4-3-g06971423-yf,14,2,6,15780
nerdfight.online,akkoma,3.14.1-0-g5ae392f,14,7,9,9663
princess.wedding,akkoma,3.15.2,14,7,9,18913
crabsin.space,akkoma,3.15.2,14,3,6,1205
little.tinypuppy.dog,akkoma,3.17.0,14,5,14,1294
fedinet.waltuh.cyou,akkoma,3.18.0-264-g20b25948,14,11,13,7052
ak.zweitekassabitte.jetzt,akkoma,3.15.2,14,4,6,6614
lab-01.arewesecureyet.org,akkoma,3.5.0-12-g63f2d1cb,14,null,null,14
ack.nerdfight.online,akkoma,3.14.1-0-g5ae392f,14,7,9,9660
autumnsky.jp,akkoma,3.13.2,13,5,10,3000
bv.umbrellix.org,akkoma,3.15.2,13,4,7,26565
akkoma.ascyltos.social,akkoma,3.15.2,13,3,4,184
a.bloodyno.se,akkoma,3.15.2,13,7,14,29481
fedi.pregnant.horse,akkoma,3.15.2,13,6,9,644
social.tudbut.de,akkoma,3.16.0-60-g6d88834f,13,3,10,1799
fedi.underpowe.red,akkoma,3.17.0-0-g06589d9--stable-,13,4,9,237
PL.UGH.IM,akkoma,3.17.0,13,5,20,511
fedi.kemonomimi.gay,akkoma,3.16.0-60-g6d88834f,13,2,5,4028
fedi.reimu.info,akkoma,3.17.0-178-g816d2332-develop,12,5,6,23498
awawa.club,akkoma,3.10.4-1-gebfb617b,12,6,8,7891
pl.ugh.im,akkoma,3.17.0,12,4,21,507
transfeminine.art,akkoma,3.18.0-0-g12bccbb--stable-,12,7,8,1165
fops.cloud,akkoma,3.17.0-0-g06589d9--stable-,12,10,10,53571
nerd.town,akkoma,3.13.2,12,7,8,45
social.rjp.is,akkoma,3.16.0-makepkg,11,8,8,47467
zia.io,akkoma,3.17.0-178-g816d2332-develop,11,6,9,2276
pl.comofas.org,akkoma,3.13.2,11,3,3,78
fedi.on-a-ps4.lol,akkoma,3.15.2-0-g5bceb1d,11,2,4,1156
strelizia.net,akkoma,3.15.2-2033-gf2c562cc-akkoma,11,4,4,167947
pl.catboyindustries.co,akkoma,3.17.0-137-gc971f297-develop,11,2,8,1891
bemrose.social,akkoma,3.10.4-1-gebfb617b,11,2,2,1513
cofe.rocks,akkoma,3.17.0-1193-ga3bbe4ca-sn0w+PX,11,10,10,9903
akkoma.linuxposting.xyz,akkoma,3.17.0,11,9,12,153
social.oss.zone,akkoma,3.17.0,11,4,11,30
p.girlc.at,akkoma,3.14.1-2-g5ae392fb,10,6,7,11209
social.thirdculture.top,akkoma,3.17.0,10,6,8,424
ibbtown.com,akkoma,3.17.0-0-g06589d9--stable-,10,6,12,177
social.snamellit.com,akkoma,3.17.0-1-g14084e14,10,3,7,288
99finches.com,akkoma,3.17.0-2-g95c75e2c-podman-WIP,10,8,8,73
pm.girlc.at,akkoma,3.14.1-2-g5ae392fb,10,6,7,11215
antani.pm,akkoma,3.17.0-123-gb4429265-develop,9,1,4,1118
subby.solutions,akkoma,3.18.0-0-g12bccbb--stable-,9,7,7,4791
snack.social,akkoma,3.13.1,9,2,4,14533
fedi.fourhappylions.com,akkoma,3.13.2,9,2,3,1156
cryptid.cafe,akkoma,3.13.3,9,4,6,4757
social.wedistribute.org,akkoma,3.13.2-0-g050bc74,9,6,8,4739
az-social.xyz,akkoma,3.17.0,9,7,9,779
forcefemm.ing,akkoma,3.15.2,9,3,4,2039
soc.runx.zip,akkoma,3.14.1-2-g5ae392fb,9,4,8,1304
akkoma-test.hiwaga.tech,akkoma,3.5.0-0-gd9508474b,9,null,null,109
otlab.dev,akkoma,3.16.0,9,4,5,575
waow.cat,akkoma,3.15.2,9,2,4,447
turbotime.turboteam.xyz,akkoma,3.15.2,9,1,1,455
cosmidsportal.com,akkoma,3.15.2-wl-stable+wl1,9,9,9,369
fedi.waow.cat,akkoma,3.15.2,9,2,4,447
trans.enby.town,akkoma,3.15.1-808-gfc2c7400-develop,8,4,6,34479
neuro.cooking,akkoma,3.5.0-0-g63f2d1cbe,8,null,null,533
typhy.club,akkoma,3.10.2-0-gba1ed37,8,2,4,705
awawa.cat,akkoma,3.17.0-1-g47e13a1e,8,5,7,2430
hasthebig.gay,akkoma,3.16.0-1025-g300302d4-develop,8,0,1,95
um.lugarzinho.top,akkoma,3.10.4,8,2,2,894
santadog.social,akkoma,3.9.3-0-g9d7c877,8,5,5,186
social.privacypolicyga.me,akkoma,3.13.3,8,1,2,265
telex.disinfo.zone,akkoma,3.15.2,8,0,1,422
social.goatzone.net,akkoma,3.17.0,8,7,8,151
ak.auriga.dev,akkoma,3.15.2-0-gcb3242536,8,3,3,6
c.trans.enby.town,akkoma,3.15.1-808-gfc2c7400-develop,8,4,6,34479
introvert.social,akkoma,3.17.0-0-g06589d9--stable-,7,1,1,1212
fedi.pavluk.org,akkoma,3.15.2,7,1,1,1331
a.lufimianet.jp,akkoma,3.15.2-0-ge924294a2,7,1,2,5994
ak.kyaruc.moe,akkoma,3.4.0-0-gf91b89673,7,null,null,126296
amble.quest,akkoma,3.15.2-0-g5bceb1d,7,3,3,1476
idiomdrottning.org,akkoma,3.16.0-60-g6d88834f,7,3,4,20034
snake.cool,akkoma,3.17.0,7,1,1,89
life.starly.blue,akkoma,3.17.0-0-g06589d9--stable-,7,5,5,1631
outmo.de,akkoma,3.18.0,7,4,5,1969
fedi.enbyinsi.de,akkoma,3.17.0,7,1,2,7064
social.distrust.network,akkoma,3.15.2,7,0,7,24
ak.hieda.moe,akkoma,3.17.0,7,6,8,639
santacruz.nexus,akkoma,3.15.2,7,0,1,4
taffytavern.com,akkoma,3.16.0-60-g6d88834f,7,1,2,58
lesbian.school,akkoma,3.16.0-0-g6d88834,7,4,4,253
a.dissonant.dev,akkoma,3.16.0-60-g6d88834f,7,2,2,153
oopsall.gay,akkoma,3.18.0,6,2,3,2111
akkoma.queernerd.club,akkoma,3.16.0-0-g6d88834,6,2,3,5833
akko.lightnovel-dungeon.de,akkoma,3.18.0,6,1,1,6502
social.nihil.gay,akkoma,3.15.2,6,4,5,3008
people.unfoo.net,akkoma,3.15.2,6,1,2,279
social.raccoon.college,akkoma,3.9.3-0-g9d7c877,6,2,4,355
social.afontaine.dev,akkoma,3.17.0,6,3,5,42
snipetteville.in,akkoma,3.7.1-0-gfef4bae,6,null,null,1123
social.fringesec.ca,akkoma,3.17.0-0-g06589d9--stable-,6,2,4,183
raki.club,akkoma,3.18.0-0-g12bccbb--stable-,6,1,1,544
social.techn1k.de,akkoma,3.18.0-0-g12bccbb--stable-,6,4,6,519
akkoma.flyerdonut.net,akkoma,3.13.3-197-g2b9109a6-ioFix,6,3,3,82788
fedi.rubikoid.ru,akkoma,3.17.0,6,2,4,12
social.ratliff.space,akkoma,3.15.2-0-g5bceb1d,6,2,4,4
stoner.cafe,akkoma,3.17.0-0-g06589d9--stable-,6,6,6,0
akkoma.tomkrizan.com,akkoma,3.15.2,6,1,1,46
fedi.timstrutzi.at,akkoma,3.9.3-28-g9d7c877d,6,2,5,21
brettvormkopf.de,akkoma,3.18.0,6,2,2,799
fedi.sillyjune.xyz,akkoma,3.17.0-0-g06589d9--stable-,6,3,8,91
transfem.boywife.top,akkoma,3.17.0-0-g06589d9--stable-,6,2,3,1582
samplers.hal-contract.org,akkoma,3.9.3-0-g9d7c877,6,5,5,268
amik.eco,akkoma,3.15.2,6,6,6,56
fedi.lunarlink.ch,akkoma,3.17.0,6,6,6,3
www.brettvormkopf.de,akkoma,3.18.0,6,2,2,800
akko.woof.monster,akkoma,3.16.0-60-g6d88834f,6,1,6,811
ak.angelstrapped.com,akkoma,3.15.1-5-g37a922a5-angelstrapped,5,5,5,16745
social.baradoz.cloud,akkoma,3.10.4,5,1,1,1300
fedi.worf.win,akkoma,3.15.2,5,3,3,778
sns.minovsky.space,akkoma,3.15.2,5,4,4,22900
class.lunanova.dev,akkoma,3.15.2,5,3,4,24130
castoranxieux.ca,akkoma,3.17.0,5,4,4,1
social.zell-mbc.com,akkoma,3.18.0,5,4,4,349
p.umbriel.fr,akkoma,3.18.0,5,1,1,73157
alceawis.com,akkoma,3.15.2-0-g5bceb1d,5,1,2,1473
norn.moe,akkoma,3.15.2,5,2,3,260
fedi.aria.dog,akkoma,3.15.2-0-g5bceb1d,5,1,3,18205
universe.feliver.se,akkoma,3.15.1,5,2,3,1150
fedi.anarchy.moe,akkoma,3.18.0,5,4,5,1263
fedi.n4x.moe,akkoma,3.18.0-0-g12bccbb--stable-,5,3,5,11
beep.flawbee.net,akkoma,3.17.0-209-g7b9a0e6d-develop,5,4,4,1358
meow.morecats.net,akkoma,3.18.0-0-g12bccbb--stable-,5,5,6,9
fediverse.elbehnon.de,akkoma,3.17.0,5,4,4,20
cocaine.moe,akkoma,3.17.0-0-g06589d9--stable-,5,1,1,5513
fedi.danis.one,akkoma,3.17.0,5,2,2,140
akkoma.kruhlovo.xyz,akkoma,3.16.0-0-g6d88834,5,4,6,1061
media.norn.moe,akkoma,3.15.2,5,2,3,260
social.tut-cc.org,akkoma,3.15.2,5,3,6,29
akkoma.yokkin.com,akkoma,3.17.0,4,7,7,437
soc.feditime.com,akkoma,3.17.0,4,4,4,3185
fuzzyroots.net,akkoma,3.15.2-0-g5bceb1d,4,1,1,1231
gay.lesaoras.xyz,akkoma,3.17.0-0-g06589d9--stable-,4,1,1,5520
notes.whatthefuck.computer,akkoma,3.15.2,4,4,4,5060
fedi.u2p.net,akkoma,3.10.4,4,0,0,1
luna.vg,akkoma,3.17.0,4,2,2,13049
social.unitoo.it,akkoma,3.18.0,4,1,1,606
hi.nighten.fr,akkoma,3.17.0-0-g06589d9--stable-,4,2,2,2435
phantomthieves.net,akkoma,3.15.2,4,2,2,5032
stroud.social,akkoma,3.17.0,4,3,3,1578
social.vlhl.dev,akkoma,3.17.0,4,3,3,35933
fedi.rubedo.gay,akkoma,3.15.2,4,2,2,14678
akko.isabelroses.com,akkoma,3.17.0,4,3,4,4095
social.wuatek.is,akkoma,3.18.0,4,3,3,2436
soc.kouett.net.eu.org,akkoma,3.17.0-0-g06589d9--stable-,4,4,4,26447
ublog.kimapr.net,akkoma,3.15.2,4,2,4,18317
nbh.ax,akkoma,3.17.0,4,1,2,6431
arcanekittens.xyz,akkoma,3.17.0,4,4,4,1750
fabula.schizophreni.ca,akkoma,3.17.0-0-g06589d9--stable-,4,3,4,2203
fedi.quiet.horse,akkoma,3.17.0,4,2,3,11166
nou.fai.st,akkoma,3.16.0-0-g6d88834,4,4,5,630
portal.gb0.dev,akkoma,3.17.0,4,2,3,1617
yap.pony.biz,akkoma,3.17.0,4,4,4,543
fullyfunctional.cafe,akkoma,3.17.0,4,4,4,153
akko.innumerable-wounds.com,akkoma,3.16.0-0-g6d88834,4,3,3,96
ak.cute.rest,akkoma,3.18.0,4,3,3,137
lotor.network,akkoma,3.15.2,4,2,2,11490
va-11-hall-a.cafe,akkoma,3.18.0,4,3,3,15815
p.changeme.fr.eu.org,akkoma,3.17.0,4,1,1,336
social.chaos.koeln,akkoma,3.15.2-1290-g487196cc-develop,4,1,1,125
social.bakdos.de,akkoma,3.16.0,4,2,3,77
social.emarhavil.com,akkoma,3.13.2,4,1,2,285
yap.bls.ooo,akkoma,3.9.3-0-g9d7c877,4,0,1,287
government-secrets.nbh.ax,akkoma,3.17.0,4,1,2,6463
i.notes.whatthefuck.computer,akkoma,3.15.2,4,4,4,5062
media.arcanekittens.xyz,akkoma,3.18.1,4,4,4,1826
rspamd.isabelroses.com,akkoma,3.17.0,4,3,4,4116
media.social.emarhavil.com,akkoma,3.13.2,4,1,2,288
akkm.kikowiwu.com,akkoma,3.17.0,4,4,4,50
t.hermine.in,akkoma,3.15.2-0-g5bceb1d,3,1,1,596
akkoma.xn--pikabl-0xa.se,akkoma,3.18.0,3,2,2,1271
12xu.xyz,akkoma,3.16.0-0-g6d88834,3,2,2,1735
akkoma.thesandbox.net,akkoma,3.17.0-1-gac795a06,3,1,1,1727
akkoma.alster.space,akkoma,3.18.0-0-g12bccbb--stable-,3,3,3,769
atomicpoet.org,akkoma,3.11.0-0-ga03f3a9,3,2,3,20378
axbom.me,akkoma,3.17.0-0-g06589d9--stable-,3,3,3,2434
soc.femme.cat,akkoma,3.17.0-0-g06589d9--stable-,3,2,3,361
akkm.moongazer.net,akkoma,3.17.0-0-g06589d9--stable-,3,3,3,2299
social.imastags.com,akkoma,3.10.4,3,0,0,17303
a.farook.org,akkoma,3.9.3-0-g9d7c877,3,1,2,2079
tinylad.social,akkoma,3.16.0-0-g6d88834,3,1,1,1603
distraction.party,akkoma,3.18.0-1319-gb025acca,3,1,1,7877
parcero.casa,akkoma,3.18.0-0-g12bccbb--stable-,3,2,2,4584
soc.megatokyo.moe,akkoma,3.15.2-0-g5bceb1d,3,2,2,18226
akk.fedcast.ch,akkoma,3.17.0-0-g06589d9--stable-,3,1,1,13355
couch.beerriot.com,akkoma,3.18.0,3,2,2,1882
akko.erincandescent.net,akkoma,3.15.1,3,2,2,4884
bot.girldat.ing,akkoma,3.18.0-mistress,3,3,3,107
akko.drgn.gay,akkoma,3.15.1,3,2,3,1636
akkoma.chez.chat,akkoma,3.16.0-23-g6d88834f,3,3,3,1646
akkoma.fennec.town,akkoma,3.18.0-0-g12bccbb--stable-,3,2,3,55
ap.nil.im,akkoma,3.15.1,3,2,3,1943
deep13.social,akkoma,3.16.0-0-g6d88834,3,1,1,294
akkoma.probablytoo.online,akkoma,3.16.0-60-g6d88834f,3,2,3,5
akko.staging.e2net.social,akkoma,3.13.2-0-gbee10ea-develop,3,0,1,77
semtex.social,akkoma,3.13.2,3,1,1,9
transient.garden,akkoma,3.17.0-0-g06589d9--stable-,3,1,1,3
